Nr,exercise,question,answer,german,english,french,explanation_english,explanation_french,opposite,type
1,1,,hier,,here,ici,hier = here,hier = ici,dort,local
2,1,,immer,,always,toujours,immer = always,immer = toujours,nie,temporal
3,1,,jetzt,,now,maintenant,jetzt = now,jetzt = maintenant,,temporal
4,1,,sehr,,very,très,sehr = very,sehr = très,,modal
5,1,,bald,,soon,bientôt,bald = soon,bald = bientôt,,temporal
6,1,,fast,,almost,presque,fast = almost,fast = presque,,modal
7,1,,gestern,,yesterday,hier,gestern = yesterday,gestern = hier,morgen,temporal
8,1,,heute,,today,aujourd'hui,heute = today,heute = aujourd'hui,,temporal
9,1,,morgen,,tomorrow,demain,morgen = tomorrow,morgen = demain,gestern,temporal
10,1,,manchmal,,sometimes,parfois,manchmal = sometimes,manchmal = parfois,,temporal
11,2,Ich bin _____.,hier,Ich bin hier.,I am here.,Je suis là.,hier = here,hier = ici,,
12,2,_____ ist es sehr ruhig.,Hier,Hier ist es sehr ruhig.,It is very quiet here.,C'est très calme ici.,hier = here,hier = ici,,
13,2,Wir treffen uns _____.,hier,Wir treffen uns hier.,We are meeting here.,Nous nous réunissons ici.,hier = here,hier = ici,,
14,2,_____ gibt es ein gutes Restaurant.,Hier,Hier gibt es ein gutes Restaurant.,There is a good restaurant here.,Il y a un bon restaurant ici.,hier = here,hier = ici,,
15,2,Mein Auto steht _____.,hier,Mein Auto steht hier.,My car is parked here.,Ma voiture est garée ici.,hier = here,hier = ici,,
16,2,Ich bin _____ fertig.,fast,Ich bin fast fertig.,I am almost done.,J'ai presque fini.,fast = almost,fast = presque,,
17,2,Der Film ist _____ zu Ende.,fast,Der Film ist fast zu Ende.,The movie is almost over.,Le film est presque terminé.,fast = almost,fast = presque,,
18,2,Es ist _____ Mitternacht.,fast,Es ist fast Mitternacht.,It is almost midnight.,Il est presque minuit.,fast = almost,fast = presque,,
19,2,Ich habe _____ alles verstanden.,fast,Ich habe fast alles verstanden.,I understood almost everything.,J'ai presque tout compris.,fast = almost,fast = presque,,
20,2,Wir sind _____ da.,fast,Wir sind fast da.,We are almost there.,Nous y sommes presque.,fast = almost,fast = presque,,
21,2,Ich bin _____ müde.,sehr,Ich bin sehr müde.,I am very tired.,Je suis très fatigué.,sehr = very,sehr = très,,
22,2,Das Essen schmeckt _____ gut.,sehr,Das Essen schmeckt sehr gut.,The food tastes very good.,La nourriture a très bon goût.,sehr = very,sehr = très,,
23,2,Er spricht _____ langsam.,sehr,Er spricht sehr langsam.,He speaks very slowly.,Il parle très lentement.,sehr = very,sehr = très,,
24,2,Wir sind _____ glücklich.,sehr,Wir sind sehr glücklich.,We are very happy.,Nous sommes très heureux.,sehr = very,sehr = très,,
25,2,Das Wetter ist heute _____ schön.,sehr,Das Wetter ist heute sehr schön.,The weather is very nice today.,Il fait très beau aujourd'hui.,sehr = very,sehr = très,,
26,2,Ich bin _____ müde.,jetzt,Ich bin jetzt müde.,I am tired now.,Je suis fatigué maintenant.,jetzt = now,jetzt = maintenant,,
27,2,Wir gehen _____ nach Hause.,jetzt,Wir gehen jetzt nach Hause.,We are going home now.,Nous rentrons à la maison maintenant.,jetzt = now,jetzt = maintenant,,
28,2,Er arbeitet _____ im Büro.,jetzt,Er arbeitet jetzt im Büro.,He is working in the office now.,Il travaille au bureau maintenant.,jetzt = now,jetzt = maintenant,,
29,2,_____ ist es sehr kalt draußen.,Jetzt,Jetzt ist es sehr kalt draußen.,It is very cold outside now.,Il fait très froid dehors maintenant.,jetzt = now,jetzt = maintenant,,
30,2,Ich rufe dich _____ an.,jetzt,Ich rufe dich jetzt an.,I am calling you now.,Je t'appelle maintenant.,jetzt = now,jetzt = maintenant,,
31,2,_____ habe ich einen Termin beim Arzt.,Morgen,Morgen habe ich einen Termin beim Arzt.,Tomorrow I have an appointment with the doctor.,Demain j'ai rendez-vous chez le médecin.,morgen = tomorrow,morgen = demain,,
32,2,Wir fahren _____ nach Berlin.,morgen,Wir fahren morgen nach Berlin.,We are going to Berlin tomorrow.,Nous allons à Berlin demain.,morgen = tomorrow,morgen = demain,,
33,2,_____ beginnt die Schule wieder.,Morgen,Morgen beginnt die Schule wieder.,School starts again tomorrow.,L'école recommence demain.,morgen = tomorrow,morgen = demain,,
34,2,Ich rufe dich _____ an.,morgen,Ich rufe dich morgen an.,I will call you tomorrow.,Je t'appellerai demain.,morgen = tomorrow,morgen = demain,,
35,2,Das Wetter soll _____ schön sein.,morgen,Das Wetter soll morgen schön sein.,The weather is supposed to be nice tomorrow.,Il est prévu que le temps soit beau demain.,morgen = tomorrow,morgen = demain,,
36,2,_____ war das Wetter schön.,Gestern,Gestern war das Wetter schön.,Yesterday the weather was nice.,"Hier, il faisait beau.",gestern = yesterday,gestern = hier,,
37,2,Ich habe _____ einen Film gesehen.,gestern,Ich habe gestern einen Film gesehen.,I watched a movie yesterday.,J'ai regardé un film hier.,gestern = yesterday,gestern = hier,,
38,2,Wir waren _____ im Park.,gestern,Wir waren gestern im Park.,We were in the park yesterday.,Nous étions au parc hier.,gestern = yesterday,gestern = hier,,
