Nr,exercise,question,answer,frage_word,german,english,french,explanation_english,explanation_french
1,1,,Was,was,,What,"Que, Quoi",Was = What,"Was = Que, Quoi"
2,1,,Wie,wie,,How,Comment,Wie = How,Wie = Comment
3,1,,Warum,warum,,Why,Pourquoi,Warum = Why,Warum = Pourquoi
4,1,,Wann,wann,,When,Quand,Wann = When,Wann = Quand
5,1,,Wer,wer,,Who,Qui,Wer = Who,Wer = Qui
6,1,,Wo,wo,,Where,Où,Wo = Where,Wo = Où
7,1,,Wohin,wohin,,"Where to, Whither",Vers où,"Wohin = Where to, Whither",Wohin = Vers où
8,1,,Woher,woher,,"Where from, Whence",D'où,"Woher = Where from, Whence",Woher = D'où
9,2,_____ geht es dir?,Wie,wie,Wie geht es dir?,How are you?,Comment vas-tu?,Wie = How,Wie = Comment
10,2,_____ heißt du?,Wie,wie,Wie heißt du?,What is your name?,Quel est ton nom?,Wie = How,Wie = Comment
11,2,_____ alt bist du?,Wie,wie,Wie alt bist du?,How old are you?,Quel âge as-tu?,Wie = How,Wie = Comment
12,2,_____ spät ist es?,Wie,wie,Wie spät ist es?,What time is it?,Quelle heure est-il?,Wie = How,Wie = Comment
13,2,_____ ist das Wetter heute?,Wie,wie,Wie ist das Wetter heute?,How is the weather today?,Quel temps fait-il aujourd'hui?,Wie = How,Wie = Comment
14,2,_____ beginnt der Film?,Wann,wann,Wann beginnt der Film?,When does the movie start?,Quand commence le film ?,Wann = When,Wann = Quand
15,2,_____ hast du Geburtstag?,Wann,wann,Wann hast du Geburtstag?,When is your birthday?,C'est quand votre anniversaire?,Wann = When,Wann = Quand
16,2,_____ kommst du nach Hause?,Wann,wann,Wann kommst du nach Hause?,When are you coming home?,Quand est-ce que tu rentres à la maison ?,Wann = When,Wann = Quand
17,2,_____ fährt der nächste Bus?,Wann,wann,Wann fährt der nächste Bus?,When does the next bus leave?,Quand part le prochain bus ?,Wann = When,Wann = Quand
18,2,_____ hast du Zeit?,Wann,wann,Wann hast du Zeit?,When do you have time?,Quand as-tu le temps ?,Wann = When,Wann = Quand
19,2,_____ lernst du Deutsch?,Warum,warum,Warum lernst du Deutsch?,Why are you learning German?,Pourquoi apprenez-vous l'allemand ?,Warum = Why,Warum = Pourquoi
20,2,_____ bist du zu spät gekommen?,Warum,warum,Warum bist du zu spät gekommen?,Why did you come late?,Pourquoi es-tu arrivé en retard ?,Warum = Why,Warum = Pourquoi
21,2,_____ lachst du?,Warum,warum,Warum lachst du?,Why are you laughing?,Pourquoi riez-vous?,Warum = Why,Warum = Pourquoi
22,2,_____ ist der Himmel blau?,Warum,warum,Warum ist der Himmel blau?,Why is the sky blue?,Pourquoi le ciel est bleu ?,Warum = Why,Warum = Pourquoi
23,2,_____ hast du gestern nicht angerufen?,Warum,warum,Warum hast du gestern nicht angerufen?,Why didn’t you call yesterday?,Pourquoi n’as-tu pas appelé hier ?,Warum = Why,Warum = Pourquoi
24,2,_____ bist du?,Wer,wer,Wer bist du?,Who are you?,Qui es-tu?,Wer = Who,Wer = Qui
25,2,_____ ist dein Lehrer?,Wer,wer,Wer ist dein Lehrer?,Who is your teacher?,Qui est ton professeur ?,Wer = Who,Wer = Qui
26,2,_____ hat das gesagt?,Wer,wer,Wer hat das gesagt?,Who said that?,Qui a dit ça ?,Wer = Who,Wer = Qui
27,2,_____ kommt mit ins Kino?,Wer,wer,Wer kommt mit ins Kino?,Who is coming to the cinema?,Qui vient au cinéma ?,Wer = Who,Wer = Qui
28,2,_____ ruft mich an?,Wer,wer,Wer ruft mich an?,Who is calling me?,Qui m'appelle ?,Wer = Who,Wer = Qui
29,2,_____ ist das?,Was,was,Was ist das?,What is that?,Qu'est-ce que c'est?,Was = What,"Was = Que, Quoi"
30,2,_____ machst du gerade?,Was,was,Was machst du gerade?,What are you doing right now?,Que fais-tu en ce moment?,Was = What,"Was = Que, Quoi"
