Nr,exercise,question,answer,konnektor,german,english,french,case_english,case_french,explanation_english,explanation_french
1,1,,und,und,,and,et,Coordinating conjunction,Conjonction de coordination,und = and,und = et
2,1,,aber,aber,,but,mais,Coordinating conjunction,Conjonction de coordination,aber = but,aber = mais
3,1,,oder,oder,,or,ou,Coordinating conjunction,Conjonction de coordination,oder = or,oder = ou
4,1,,denn,denn,,"because, for","parce que, car",Coordinating conjunction,Conjonction de coordination,"denn = because, for","denn = parce que, car"
5,2,Ich gehe einkaufen _____ mein Bruder kocht das Abendessen.,und,und,Ich gehe einkaufen und mein Bruder kocht das Abendessen.,"I go shopping, and my brother cooks dinner.",Je vais faire les courses et mon frère prépare le dîner.,,,und = and,und = et
6,2,Wir lernen Deutsch _____ wir hören deutsche Musik.,und,und,Wir lernen Deutsch und wir hören deutsche Musik.,"We learn German, and we listen to German music.",Nous apprenons l’allemand et nous écoutons de la musique allemande.,,,und = and,und = et
7,2,Sie liest ein Buch _____ ihr Freund schaut einen Film.,und,und,Sie liest ein Buch und ihr Freund schaut einen Film.,"She reads a book, and her boyfriend watches a movie.",Elle lit un livre et son petit ami regarde un film.,,,und = and,und = et
8,2,Er putzt das Haus _____ seine Schwester macht die Wäsche.,und,und,Er putzt das Haus und seine Schwester macht die Wäsche.,"He cleans the house, and his sister does the laundry.",Il nettoie la maison et sa sœur fait la lessive.,,,und = and,und = et
9,2,Wir essen zusammen _____ dann spielen wir Karten.,und,und,Wir essen zusammen und dann spielen wir Karten.,"We eat together, and then we play cards.","Nous mangeons ensemble, puis nous jouons aux cartes.",,,und = and,und = et
10,2,"Ich möchte ins Kino gehen, _____ ich habe keine Zeit.",aber,aber,"Ich möchte ins Kino gehen, aber ich habe keine Zeit.","I want to go to the cinema, but I have no time.","Je veux aller au cinéma, mais je n'ai pas le temps.",,,aber = but,aber = mais
11,2,"Er lernt viel, _____ er versteht die Grammatik nicht.",aber,aber,"Er lernt viel, aber er versteht die Grammatik nicht.","He studies a lot, but he doesn’t understand the grammar.","Il étudie beaucoup, mais il ne comprend pas la grammaire.",,,aber = but,aber = mais
12,2,"Sie mag Sport, _____ sie geht selten ins Fitnessstudio.",aber,aber,"Sie mag Sport, aber sie geht selten ins Fitnessstudio.","She likes sports, but she rarely goes to the gym.","Elle aime le sport, mais elle va rarement à la salle de sport.",,,aber = but,aber = mais
13,2,"Wir wollten spazieren gehen, _____ es hat geregnet.",aber,aber,"Wir wollten spazieren gehen, aber es hat geregnet.","We wanted to go for a walk, but it rained.","Nous voulions faire une promenade, mais il pleuvait.",,,aber = but,aber = mais
14,2,"Ich esse gern Pizza, _____ ich koche nicht oft.",aber,aber,"Ich esse gern Pizza, aber ich koche nicht oft.","I like eating pizza, but I don’t cook often.","J’aime manger de la pizza, mais je ne cuisine pas souvent.",,,aber = but,aber = mais
15,2,"Ich gehe ins Bett, _____ ich bin müde.",denn,denn,"Ich gehe ins Bett, denn ich bin müde.",I am going to bed because I am tired.,Je vais me coucher parce que je suis fatigué.,,,"denn = because, for","denn = parce que, car"
16,2,"Er bleibt zu Hause, _____ er fühlt sich nicht gut.",denn,denn,"Er bleibt zu Hause, denn er fühlt sich nicht gut.",He stays at home because he doesn’t feel well.,Il reste à la maison parce qu’il ne se sent pas bien.,,,"denn = because, for","denn = parce que, car"
17,2,"Sie kauft das Buch, _____ sie möchte es lesen.",denn,denn,"Sie kauft das Buch, denn sie möchte es lesen.",She buys the book because she wants to read it.,Elle achète le livre parce qu'elle veut le lire.,,,"denn = because, for","denn = parce que, car"
18,2,"Wir nehmen den Bus, _____ unser Auto ist kaputt.",denn,denn,"Wir nehmen den Bus, denn unser Auto ist kaputt.",We take the bus because our car is broken.,Nous prenons le bus parce que notre voiture est en panne.,,,"denn = because, for","denn = parce que, car"
