Nr,exercise,level_verb,answer,question,english,french,type,prefix,root_german,root_english,root_french
1,1,A1,anziehen,,"to get dressed, to put on, to dress someone, to attract, to pull","s'habiller, mettre, habiller quelqu'un, attirer, tirer",1. verb,an,ziehen,"to pull, to drag, to move","tirer, traîner, déplacer"
2,1,A1,anrufen,,"to call by telephone, to call on (someone)",appeler par téléphone,1. verb,an,rufen,"to call, to shout, to summon","appeler, crier, convoquer"
3,1,A1,anfangen,,to begin something new,commencer quelque chose de nouveau,1. verb,an,fangen,to catch,attraper
4,1,A1,aufstehen,,"to get up, to be open (e.g. a window, door)","se lever, être ouvert (par exemple une fenêtre, une porte)",1. verb,auf,stehen,"to stand, to be, to appear","être debout, apparaître"
5,1,A1,aufhören,,"to stop, to cease an activity or process","arrêter, cesser une activité ou un processus",1. verb,auf,hören,"to hear, to listen to","entendre, écouter"
6,1,A1,bestimmen,,to determine,déterminer,1. verb,be,stimmen,"to be true, to vote, to tune","être vrai, voter, s'accorder"
7,1,A1,bezahlen,,"to pay, to pay someone","payer, payer quelqu'un",1. verb,be,zahlen,"to pay (for something), to atone for","payer (pour quelque chose), expier"
8,1,A1,benutzen,,to use (something),utiliser (quelque chose),1. verb,be,nutzen,"to use, to utilize, to benefit from","utiliser, exploiter, bénéficier de"
9,1,A1,erzählen,,"to tell, to narrate","raconter, narrer",1. verb,er,zählen,to count,compter
10,1,A1,erklären,,"to explain, to declare, to assert","expliquer, déclarer, affirmer",1. verb,er,klären,"to clarify, to resolve, to clear up","clarifier, résoudre, éclaircir"
11,1,A1,verstehen,,"to understand, to get along with someone","comprendre, s'entendre avec quelqu'un",1. verb,ver,stehen,"to stand, to be, to appear","être debout, apparaître"
12,1,A1,versuchen,,"to try, to attempt","essayer, tenter",1. verb,ver,suchen,"to seek, to search","chercher, rechercher"
13,1,A1,verkaufen,,to sell,vendre,1. verb,ver,kaufen,to buy,acheter
14,1,A1,übersetzen,,to translate,traduire,1. verb,über,setzen,"to set, to sit down (refl.)",s'asseoir (réfl.)
15,4,A2,ansehen,,"to look at something, to watch something","regarder quelque chose, observer quelque chose",1. verb,an,sehen,"to see, to realise","voir, se rendre compte"
16,4,A2,einladen,,"to invite, to load (something into a container)","inviter, charger (quelque chose dans un conteneur)",1. verb,ein,laden,"to load, to charge, to invite","charger, inviter"
17,4,A2,besuchen,,to visit,visiter,1. verb,be,suchen,"to seek, to search","chercher, rechercher"
