section,unit,exercise,unit_exercise,level
praepositionen,praepositionen,1,praepositionen 1,A1
praepositionen,praepositionen,2,praepositionen 2,A1
praepositionen,praepositionen,3,praepositionen 3,A1
praepositionen,praepositionen,4,praepositionen 4,A1
praepositionen,praepositionen,5,praepositionen 5,A2
praepositionen,praepositionen,6,praepositionen 6,A2
praepositionen,praepositionen,7,praepositionen 7,A2
praepositionen,praepositionen,8,praepositionen 8,A2
praepositionen,praepositionen,9,praepositionen 9,B1
praepositionen,praepositionen,10,praepositionen 10,B1
praepositionen,praepositionen,11,praepositionen 11,B1
praepositionen,praepositionen,12,praepositionen 12,B1
praepositionen,praepositionen,13,praepositionen 13,B2
praepositionen,praepositionen,14,praepositionen 14,B2
praepositionen,praepositionen,15,praepositionen 15,B2
praepositionen,praepositionen,16,praepositionen 16,B2
praepositionen,praepositionen,17,praepositionen 17,C1
praepositionen,praepositionen,18,praepositionen 18,C1
praepositionen,praepositionen,19,praepositionen 19,C1
praepositionen,praepositionen,20,praepositionen 20,C1
praepositionen,praepositionen,21,praepositionen 21,C1
praepositionen,praepositionen,22,praepositionen 22,C1
praepositionen,praepositionen,23,praepositionen 23,C1
praepositionen,praepositionen,24,praepositionen 24,C1
praepositionen,praepositionen,25,praepositionen 25,C1
praepositionen,praepositionen,26,praepositionen 26,C1
praepositionen,praepositionen,27,praepositionen 27,C1
praepositionen,praepositionen,28,praepositionen 28,C1
praepositionen,praepositionen,29,praepositionen 29,C1
praepositionen,praepositionen,30,praepositionen 30,C1
praepositionen,praepositionen_verben,1,praepositionen_verben 1,A1
praepositionen,praepositionen_verben,2,praepositionen_verben 2,A1
praepositionen,praepositionen_verben,3,praepositionen_verben 3,A1
praepositionen,praepositionen_verben,4,praepositionen_verben 4,A1
praepositionen,praepositionen_verben,5,praepositionen_verben 5,A2
praepositionen,praepositionen_verben,6,praepositionen_verben 6,A2
praepositionen,praepositionen_verben,7,praepositionen_verben 7,A2
praepositionen,praepositionen_verben,8,praepositionen_verben 8,A2
praepositionen,praepositionen_verben,9,praepositionen_verben 9,A2
