german,english,french
"Allein ist besser als mit Schlechten im Verein: mit Guten im Verein, ist besser als allein.",Better to be alone than in bad company: good company is better than being alone.,Mieux vaut être seul que mal accompagné ; mais mieux vaut être bien accompagné que seul.
Aller guten Dinge sind drei.,All good things come in threes.,Jamais deux sans trois.
Alles ist seinen Preis wert.,Everything is worth its price or Everything is worth what its purchaser will pay.,Tout a son prix.
Alles zu seiner Zeit.,Everything in its season.,Chaque chose en son temps.
Alte Füchse gehen schwer in die Falle.,An old fox understands a trap.,Les vieux renards ne se laissent pas facilement prendre.
"Alte soll man ehren, Junge soll man lehren.","Gray hairs are honorable.
<br>Literally, 'One should honor the old, one should teach the young.'",Il faut honorer les anciens et instruire les jeunes.
Am vielen Lachen erkennt man den Narren.,A fool is ever laughing.,Qui rit trop passe pour un sot.
An den Früchten erkennt man den Baum.,The apple does not fall far from the tree.,C’est aux fruits qu’on reconnaît l’arbre.
"Andere Länder, andere Sitten.","Different countries, different customs.","Autres pays, autres mœurs."
"Anfangen ist leicht, beharren eine Kunst.","To begin is easy, to persist is an art.","Commencer est facile, persévérer est un art."
Angebotene Waare stinkt.,Proffer'd service stinks.,La marchandise offerte sent le roussi.
"Arzt, hilf dir selber!","Physician, heal thyself!","Médecin, soigne-toi toi-même."
Auch der kleinste Feind ist nicht zu verachten.,There is no little enemy.,Même le plus petit ennemi est à craindre.
Auf einen groben Klotz gehört ein grober Keil.,You must meet roughness with roughness.,"À gros marteau, gros clou."
Aufgewärmter Kohl war niemals gut.,Take heed of enemies reconciled and of meat twice boiled.,Les restes réchauffés ne valent jamais rien.
Aufschub bringt Gefahr.,There is danger in delay.,Remettre à plus tard est dangereux.
"Aus den Augen, aus dem Sinn.","Out of sight, out of mind.","Loin des yeux, loin du cœur."
Aus einem Stein ist schwer Öl pressen.,You cannot get blood from a stone.,On ne tire pas d’huile d’une pierre.
Aus einer Mücke einen Elefanten machen.,Don't make a mountain out of a molehill.,Faire d’une mouche un éléphant.
Aus Schaden wird man klug.,Adversity is the mother of wisdom.,C’est en faisant des erreurs qu’on devient sage.
