unit,exercise
adverbien,30
adverbien,50
adverbien,60
adverbien,70
artikel,11
artikel,20
wortstellung,10
wortstellung,42
verben,16
verben,32
verben,40
verben,48
verben,66
verben,76
verben,88
verben,98
verben,108
trennbare_verben,52
trennbare_verben,69
trennbare_verben,86
genus,30
genus,40
genus,60
genus,70
genus,80
genus,90
plural,30
plural,40
plural,60
plural,70
plural,80
praesens,8
praesens,24
partizip_II,2
partizip_II,8
partizip_II,15
partizip_II,28
partizip_II,54
praeteritum,3
praeteritum,7
praeteritum,9
praeteritum,16
praeteritum,29
praeteritum,45
praeteritum,55
nomen_verben_wortstaemme,18
nomen_verben_wortstaemme,38
nomen_verben_wortstaemme,48
nomen_verben_wortstaemme,66
nomen_verben_wortstaemme,76
