Nr,exercise,question,answer,german,english,french,case_english,case_french,combination,explanation_verb_english,explanation_verb_french,explanation_preposition_english,explanation_preposition_french,explanation_english,explanation_french
1,1,glücklich _____ sein,über,glücklich über sein,to be happy about,être heureux de,Accusative,Accusatif,glücklich über sein,to be happy about = glücklich über sein + Accusative,être heureux de = glücklich über sein + Accusatif,to introduce an emotional theme → über,pour introduire un thème émotionnel → über,to be happy about = glücklich über sein + Accusative<br><br>to introduce an emotional theme → über,être heureux de = glücklich über sein + Accusatif<br><br>pour introduire un thème émotionnel → über
2,1,reich _____ sein,an,reich an sein,to be rich in,être riche en,Dative,Datif,reich an sein,to be rich in = reich an sein + Dative,être riche en = reich an sein + Datif,to introduce a point of reference → an,pour introduire un point de référence → an,to be rich in = reich an sein + Dative<br><br>to introduce a point of reference → an,être riche en = reich an sein + Datif<br><br>pour introduire un point de référence → an
3,1,freundlich _____ sein,zu,freundlich zu sein,"to be friendly to, towards",être amical avec,Dative,Datif,freundlich zu sein,"to be friendly to, towards = freundlich zu sein + Dative",être amical avec = freundlich zu sein + Datif,to introduce a relationship → zu,pour introduire une relation → zu,"to be friendly to, towards = freundlich zu sein + Dative<br><br>to introduce a relationship → zu",être amical avec = freundlich zu sein + Datif<br><br>pour introduire une relation → zu
4,1,genug _____ sein,für,genug für sein,to be enough for,"être assez pour, être suffisant pour",Accusative,Accusatif,genug für sein,to be enough for = genug für sein + Accusative,"être assez pour, être suffisant pour = genug für sein + Accusatif","to introduce a purpose, a goal or a beneficiary → für","pour introduire un objectif, un but ou un bénéficiaire → für","to be enough for = genug für sein + Accusative<br><br>to introduce a purpose, a goal or a beneficiary → für","être assez pour, être suffisant pour = genug für sein + Accusatif<br><br>pour introduire un objectif, un but ou un bénéficiaire → für"
5,1,gut _____ sein,in,gut in sein,to be good in,être bon en,Dative,Datif,gut in sein,to be good in = gut in sein + Dative,être bon en = gut in sein + Datif,to introduce an area of expertise → in,pour introduire un domaine d'expertise → dans,to be good in = gut in sein + Dative<br><br>to introduce an area of expertise → in,être bon en = gut in sein + Datif<br><br>pour introduire un domaine d'expertise → dans
6,1,leicht _____ sein,für,leicht für sein,to be easy for,être facile pour,Accusative,Accusatif,leicht für sein,to be easy for = leicht für sein + Accusative,être facile pour = leicht für sein + Accusatif,"to introduce a purpose, a goal or a beneficiary → für","pour introduire un objectif, un but ou un bénéficiaire → für","to be easy for = leicht für sein + Accusative<br><br>to introduce a purpose, a goal or a beneficiary → für","être facile pour = leicht für sein + Accusatif<br><br>pour introduire un objectif, un but ou un bénéficiaire → für"
7,1,nützlich _____ sein,für,nützlich für sein,to be useful for,être utile pour,Accusative,Accusatif,nützlich für sein,to be useful for = nützlich für sein + Accusative,être utile pour = nützlich für sein + Accusatif,"to introduce a purpose, a goal or a beneficiary → für","pour introduire un objectif, un but ou un bénéficiaire → für","to be useful for = nützlich für sein + Accusative<br><br>to introduce a purpose, a goal or a beneficiary → für","être utile pour = nützlich für sein + Accusatif<br><br>pour introduire un objectif, un but ou un bénéficiaire → für"
8,1,offen _____ sein,für,offen für sein,to be open to,être ouvert à,Accusative,Accusatif,offen für sein,to be open to = offen für sein + Accusative,être ouvert à = offen für sein + Accusatif,"to introduce a purpose, a goal or a beneficiary → für","pour introduire un objectif, un but ou un bénéficiaire → für","to be open to = offen für sein + Accusative<br><br>to introduce a purpose, a goal or a beneficiary → für","être ouvert à = offen für sein + Accusatif<br><br>pour introduire un objectif, un but ou un bénéficiaire → für"
9,1,wichtig _____ sein,für,wichtig für sein,to be important for,être important pour,Accusative,Accusatif,wichtig für sein,to be important for = wichtig für sein + Accusative,être important pour = wichtig für sein + Accusatif,"to introduce a purpose, a goal or a beneficiary → für","pour introduire un objectif, un but ou un bénéficiaire → für","to be important for = wichtig für sein + Accusative<br><br>to introduce a purpose, a goal or a beneficiary → für","être important pour = wichtig für sein + Accusatif<br><br>pour introduire un objectif, un but ou un bénéficiaire → für"
10,1,nett _____ sein,zu,nett zu sein,to be nice to,être agréable avec,Dative,Datif,nett zu sein,to be nice to = nett zu sein + Dative,être agréable avec = nett zu sein + Datif,to introduce a relationship → zu,pour introduire une relation → zu,to be nice to = nett zu sein + Dative<br><br>to introduce a relationship → zu,être agréable avec = nett zu sein + Datif<br><br>pour introduire une relation → zu
11,1,interessiert _____ sein,an,interessiert an sein,to be interested in,être intéressé par,Dative,Datif,interessiert an sein,to be interested in = interessiert an sein + Dative,être intéressé par = interessiert an sein + Datif,,,to be interested in = interessiert an sein + Dative,être intéressé par = interessiert an sein + Datif
12,1,schwierig _____ sein,für,schwierig für sein,to be difficult for,être difficile pour,Accusative,Accusatif,schwierig für sein,to be difficult for = schwierig für sein + Accusative,être difficile pour = schwierig für sein + Accusatif,"to introduce a purpose, a goal or a beneficiary → für","pour introduire un objectif, un but ou un bénéficiaire → für","to be difficult for = schwierig für sein + Accusative<br><br>to introduce a purpose, a goal or a beneficiary → für","être difficile pour = schwierig für sein + Accusatif<br><br>pour introduire un objectif, un but ou un bénéficiaire → für"
13,1,unfreundlich _____ sein,zu,unfreundlich zu sein,"to be unfriendly to, towards",être hostile envers,Dative,Datif,unfreundlich zu sein,"to be unfriendly to, towards = unfreundlich zu sein + Dative",être hostile envers = unfreundlich zu sein + Datif,to introduce a relationship → zu,pour introduire une relation → zu,"to be unfriendly to, towards = unfreundlich zu sein + Dative<br><br>to introduce a relationship → zu",être hostile envers = unfreundlich zu sein + Datif<br><br>pour introduire une relation → zu
14,1,unglücklich _____ sein,über,unglücklich über sein,to be unhappy about,être mécontent de,Accusative,Accusatif,unglücklich über sein,to be unhappy about = unglücklich über sein + Accusative,être mécontent de = unglücklich über sein + Accusatif,to introduce an emotional theme → über,pour introduire un thème émotionnel → über,to be unhappy about = unglücklich über sein + Accusative<br><br>to introduce an emotional theme → über,être mécontent de = unglücklich über sein + Accusatif<br><br>pour introduire un thème émotionnel → über
15,2,Nüsse sind reich _____ Vitaminen und gesunden Fetten.,an,Nüsse sind reich an Vitaminen und gesunden Fetten.,Nuts are rich in vitamins and healthy fats.,Les noix sont riches en vitamines et en graisses saines.,,,reich an sein,to be rich in = reich an sein + Dative,être riche en = reich an sein + Datif,to introduce a point of reference → an,pour introduire un point de référence → an,to be rich in = reich an sein + Dative<br><br>to introduce a point of reference → an,être riche en = reich an sein + Datif<br><br>pour introduire un point de référence → an
16,2,Dieses Land ist reich _____ natürlichen Ressourcen.,an,Dieses Land ist reich an natürlichen Ressourcen.,This country is rich in natural resources.,Ce pays est riche en ressources naturelles.,,,reich an sein,to be rich in = reich an sein + Dative,être riche en = reich an sein + Datif,to introduce a point of reference → an,pour introduire un point de référence → an,to be rich in = reich an sein + Dative<br><br>to introduce a point of reference → an,être riche en = reich an sein + Datif<br><br>pour introduire un point de référence → an
17,2,Die Region ist reich _____ Geschichte und Traditionen.,an,Die Region ist reich an Geschichte und Traditionen.,The region is rich in history and traditions.,La région est riche en histoire et en traditions.,,,reich an sein,to be rich in = reich an sein + Dative,être riche en = reich an sein + Datif,to introduce a point of reference → an,pour introduire un point de référence → an,to be rich in = reich an sein + Dative<br><br>to introduce a point of reference → an,être riche en = reich an sein + Datif<br><br>pour introduire un point de référence → an
18,2,Der Lehrer ist immer freundlich _____ seinen Schülern.,zu,Der Lehrer ist immer freundlich zu seinen Schülern.,The teacher is always friendly to his students.,Le professeur est toujours amical envers ses élèves.,,,freundlich zu sein,"to be friendly to, towards = freundlich zu sein + Dative",être amical avec = freundlich zu sein + Datif,to introduce a relationship → zu,pour introduire une relation → zu,"to be friendly to, towards = freundlich zu sein + Dative<br><br>to introduce a relationship → zu",être amical avec = freundlich zu sein + Datif<br><br>pour introduire une relation → zu
19,2,"Sie war sehr freundlich _____ mir, als ich neu in der Stadt war.",zu,"Sie war sehr freundlich zu mir, als ich neu in der Stadt war.",She was very friendly to me when I was new in town.,Elle a été très amicale avec moi quand j’étais nouveau en ville.,,,freundlich zu sein,"to be friendly to, towards = freundlich zu sein + Dative",être amical avec = freundlich zu sein + Datif,to introduce a relationship → zu,pour introduire une relation → zu,"to be friendly to, towards = freundlich zu sein + Dative<br><br>to introduce a relationship → zu",être amical avec = freundlich zu sein + Datif<br><br>pour introduire une relation → zu
20,2,Wir sollten freundlich _____ unseren Nachbarn sein.,zu,Wir sollten freundlich zu unseren Nachbarn sein.,We should be friendly to our neighbors.,Nous devrions être amicaux envers nos voisins.,,,freundlich zu sein,"to be friendly to, towards = freundlich zu sein + Dative",être amical avec = freundlich zu sein + Datif,to introduce a relationship → zu,pour introduire une relation → zu,"to be friendly to, towards = freundlich zu sein + Dative<br><br>to introduce a relationship → zu",être amical avec = freundlich zu sein + Datif<br><br>pour introduire une relation → zu
21,2,"Er ist immer nett _____ seinen Kollegen, auch wenn er gestresst ist.",zu,"Er ist immer nett zu seinen Kollegen, auch wenn er gestresst ist.","He is always nice to his colleagues, even when he’s stressed.","Il est toujours agréable avec ses collègues, même quand il est stressé.",,,nett zu sein,to be nice to = nett zu sein + Dative,être agréable avec = nett zu sein + Datif,to introduce a relationship → zu,pour introduire une relation → zu,to be nice to = nett zu sein + Dative<br><br>to introduce a relationship → zu,être agréable avec = nett zu sein + Datif<br><br>pour introduire une relation → zu
22,2,"Sei bitte nett _____ deiner Schwester, sie hat heute einen schlechten Tag.",zu,"Sei bitte nett zu deiner Schwester, sie hat heute einen schlechten Tag.","Please be nice to your sister, she’s having a bad day.","Sois gentil avec ta sœur, elle passe une mauvaise journée.",,,nett zu sein,to be nice to = nett zu sein + Dative,être agréable avec = nett zu sein + Datif,to introduce a relationship → zu,pour introduire une relation → zu,to be nice to = nett zu sein + Dative<br><br>to introduce a relationship → zu,être agréable avec = nett zu sein + Datif<br><br>pour introduire une relation → zu
23,2,Die Verkäuferin war sehr nett _____ den Kunden.,zu,Die Verkäuferin war sehr nett zu den Kunden.,The saleswoman was very nice to the customers.,La vendeuse était très agréable avec les clients.,,,nett zu sein,to be nice to = nett zu sein + Dative,être agréable avec = nett zu sein + Datif,to introduce a relationship → zu,pour introduire une relation → zu,to be nice to = nett zu sein + Dative<br><br>to introduce a relationship → zu,être agréable avec = nett zu sein + Datif<br><br>pour introduire une relation → zu
