Nr,exercise,question,answer,german,english,french,explanation_english,explanation_french,case_english,case_french
1,1,Der Bus kommt _____ 8 Uhr.,um,Der Bus kommt um 8 Uhr.,The bus arrives at 8 o’clock.,Le bus arrive à 8 heures.,to indicate a specific time during the day → um + Acc.,pour indiquer une heure précise → um + Acc.,,
2,1,Ich stehe _____ 7 Uhr auf.,um,Ich stehe um 7 Uhr auf.,I get up at 7 o’clock.,Je me lève à 7 heures.,to indicate a specific time during the day → um + Acc.,pour indiquer une heure précise → um + Acc.,,
3,1,Der Film beginnt _____ 20:15 Uhr.,um,Der Film beginnt um 20:15 Uhr.,The movie starts at 8:15 PM.,Le film commence à 20h15.,to indicate a specific time during the day → um + Acc.,pour indiquer une heure précise → um + Acc.,,
4,1,Wir treffen uns _____ 14 Uhr im Park.,um,Wir treffen uns um 14 Uhr im Park.,We are meeting at 2 PM in the park.,Nous nous retrouvons à 14h dans le parc.,to indicate a specific time during the day → um + Acc.,pour indiquer une heure précise → um + Acc.,,
5,1,Die Schule endet _____ 16 Uhr.,um,Die Schule endet um 16 Uhr.,School ends at 4 PM.,L'école se termine à 16 heures.,to indicate a specific time during the day → um + Acc.,pour indiquer une heure précise → um + Acc.,,
6,1,_____ Sommer schlafe ich weniger.,Im,Im Sommer schlafe ich weniger.,I sleep less in summer.,Je dors moins en été.,"to introduce a month, a season or before the word ""Nacht"" → in + Dat.","pour indiquer un mois, une saison ou avant le mot ""Nacht"" → in + Dat.",,
7,1,_____ Frühling blühen die Blumen.,Im,Im Frühling blühen die Blumen.,The flowers bloom in spring.,Les fleurs fleurissent au printemps.,"to introduce a month, a season or before the word ""Nacht"" → in + Dat.","pour indiquer un mois, une saison ou avant le mot ""Nacht"" → in + Dat.",,
8,1,_____ der Nacht ist es sehr ruhig.,In,In der Nacht ist es sehr ruhig.,"At night, it is very quiet.","La nuit, c'est très calme.","to introduce a month, a season or before the word ""Nacht"" → in + Dat.","pour indiquer un mois, une saison ou avant le mot ""Nacht"" → in + Dat.",,
9,1,_____ Januar mache ich einen Skiurlaub.,Im,Im Januar mache ich einen Skiurlaub.,I go on a skiing vacation in January.,Je pars en vacances de ski en janvier.,"to introduce a month, a season or before the word ""Nacht"" → in + Dat.","pour indiquer un mois, une saison ou avant le mot ""Nacht"" → in + Dat.",,
10,1,_____ August gehe ich oft ins Schwimmbad.,Im,Im August gehe ich oft ins Schwimmbad.,"In August, I often go to the swimming pool.","En août, je vais souvent à la piscine.","to introduce a month, a season or before the word ""Nacht"" → in + Dat.","pour indiquer un mois, une saison ou avant le mot ""Nacht"" → in + Dat.",,
11,1,Ich habe _____ Montag Deutschunterricht.,am,Ich habe am Montag Deutschunterricht.,I have German class on Monday.,J'ai cours d'allemand lundi.,to indicate a part of the day or a day of the week → an + Dat.,pour indiquer une période de la journée ou un jour de la semaine → an + Dat.,,
12,1,Wir fahren _____ Wochenende nach Berlin.,am,Wir fahren am Wochenende nach Berlin.,We are going to Berlin on the weekend.,Nous allons à Berlin ce week-end.,to indicate a part of the day or a day of the week → an + Dat.,pour indiquer une période de la journée ou un jour de la semaine → an + Dat.,,
13,1,Wir treffen uns ____ Dienstag.,am,Wir treffen uns am Dienstag.,We'll meet on Tuesday.,On se retrouve mardi.,to indicate a part of the day or a day of the week → an + Dat.,pour indiquer une période de la journée ou un jour de la semaine → an + Dat.,,
14,1,_____ Abend lese ich gern ein Buch.,Am,Am Abend lese ich gern ein Buch.,"In the evening, I like to read a book.","Le soir, j'aime lire un livre.",to indicate a part of the day or a day of the week → an + Dat.,pour indiquer une période de la journée ou un jour de la semaine → an + Dat.,,
15,1,_____ Morgen trinke ich immer Kaffee.,Am,Am Morgen trinke ich immer Kaffee.,"In the morning, I always drink coffee.","Le matin, je bois toujours du café.",to indicate a part of the day or a day of the week → an + Dat.,pour indiquer une période de la journée ou un jour de la semaine → an + Dat.,,
16,1,Ich arbeite _____ 18 Uhr.,bis,Ich arbeite bis 18 Uhr.,I work until 6 PM.,Je travaille jusqu'à 18 heures.,general translation of <i>until</i> → bis + Acc.,traduction générale de <i>jusqu'à</i> → bis + Acc.,,
17,1,Das Museum ist _____ 20 Uhr geöffnet.,bis,Das Museum ist bis 20 Uhr geöffnet.,The museum is open until 8 PM.,Le musée est ouvert jusqu'à 20h.,general translation of <i>until</i> → bis + Acc.,traduction générale de <i>jusqu'à</i> → bis + Acc.,,
18,1,_____ nächste Woche muss ich meine Hausaufgaben machen.,Bis,Bis nächste Woche muss ich meine Hausaufgaben machen.,I have to do my homework by next week.,Je dois faire mes devoirs la semaine prochaine.,general translation of <i>until</i> → bis + Acc.,traduction générale de <i>jusqu'à</i> → bis + Acc.,,
19,1,Wir bleiben _____ Sonntag in Hamburg.,bis,Wir bleiben bis Sonntag in Hamburg.,We are staying in Hamburg until Sunday.,Nous restons à Hambourg jusqu'à dimanche.,general translation of <i>until</i> → bis + Acc.,traduction générale de <i>jusqu'à</i> → bis + Acc.,,
20,1,_____ zum Sommer möchte ich Deutsch lernen.,Bis,Bis zum Sommer möchte ich Deutsch lernen.,I want to learn German by the summer.,Je veux apprendre l'allemand d'ici l'été.,general translation of <i>until</i> → bis + Acc.,traduction générale de <i>jusqu'à</i> → bis + Acc.,,
21,1,Ich wohne _____ 2018 in Berlin.,seit,Ich wohne seit 2018 in Berlin.,I have been living in Berlin since 2018.,Je vis à Berlin depuis 2018.,general translation of <i>since</i> → seit + Dat.,traduction générale de <i>depuis</i> → seit + Dat.,,
22,1,_____ einer Woche regnet es jeden Tag.,Seit,Seit einer Woche regnet es jeden Tag.,It has been raining every day for a week.,Il pleut tous les jours depuis une semaine.,general translation of <i>since</i> → seit + Dat.,traduction générale de <i>depuis</i> → seit + Dat.,,
23,1,Sie lernt _____ drei Monaten Deutsch.,seit,Sie lernt seit drei Monaten Deutsch.,She has been learning German for three months.,Elle apprend l'allemand depuis trois mois.,general translation of <i>since</i> → seit + Dat.,traduction générale de <i>depuis</i> → seit + Dat.,,
24,1,_____ dem Wochenende fühle ich mich besser.,Seit,Seit dem Wochenende fühle ich mich besser.,I have been feeling better since the weekend.,Je me sens mieux depuis le week-end.,general translation of <i>since</i> → seit + Dat.,traduction générale de <i>depuis</i> → seit + Dat.,,
25,1,_____ gestern habe ich Kopfschmerzen.,Seit,Seit gestern habe ich Kopfschmerzen.,I have had a headache since yesterday.,J'ai mal à la tête depuis hier.,general translation of <i>since</i> → seit + Dat.,traduction générale de <i>depuis</i> → seit + Dat.,,
26,1,_____ dem Frühstück gehe ich zur Arbeit.,Nach,Nach dem Frühstück gehe ich zur Arbeit.,"After breakfast, I go to work.","Après le petit déjeuner, je vais au travail.",to indicate that an event is after another → nach + Dat.,pour indiquer qu'un événement survient après un autre → nach + Dat.,,
27,1,Wir fahren _____ der Schule nach Hause.,nach,Wir fahren nach der Schule nach Hause.,We go home after school.,Nous rentrons à la maison après l'école.,to indicate that an event is after another → nach + Dat.,pour indiquer qu'un événement survient après un autre → nach + Dat.,,
28,1,_____ dem Konzert sind wir noch essen gegangen.,Nach,Nach dem Konzert sind wir noch essen gegangen.,"After the concert, we went out to eat.","Après le concert, nous sommes allés manger au restaurant.",to indicate that an event is after another → nach + Dat.,pour indiquer qu'un événement survient après un autre → nach + Dat.,,
29,1,_____ einer Woche fühlte ich mich besser.,Nach,Nach einer Woche fühlte ich mich besser.,"After a week, I felt better.","Après une semaine, je me sentais mieux.",to indicate that an event is after another → nach + Dat.,pour indiquer qu'un événement survient après un autre → nach + Dat.,,
30,1,_____ dem Sport dusche ich immer.,Nach,Nach dem Sport dusche ich immer.,"After sports, I always take a shower.","Après le sport, je prends toujours une douche.",to indicate that an event is after another → nach + Dat.,pour indiquer qu'un événement survient après un autre → nach + Dat.,,
31,1,_____ dem Essen wasche ich meine Hände.,Vor,Vor dem Essen wasche ich meine Hände.,"Before eating, I wash my hands.","Avant de manger, je me lave les mains.",to indicate that an event is before another → vor + Dat.,pour indiquer qu'un événement est antérieur à un autre → vor + Dat.,,
32,1,_____ dem Schlafen lese ich ein Buch.,Vor,Vor dem Schlafen lese ich ein Buch.,"Before sleeping, I read a book.","Avant de dormir, je lis un livre.",to indicate that an event is before another → vor + Dat.,pour indiquer qu'un événement est antérieur à un autre → vor + Dat.,,
33,1,_____ dem Frühstück trinke ich ein Glas Wasser.,Vor,Vor dem Frühstück trinke ich ein Glas Wasser.,I drink a glass of water before breakfast.,Je bois un verre d'eau avant le petit déjeuner.,to indicate that an event is before another → vor + Dat.,pour indiquer qu'un événement est antérieur à un autre → vor + Dat.,,
34,1,_____ der Schule spiele ich mit meinem Bruder.,Vor,Vor der Schule spiele ich mit meinem Bruder.,I play with my brother before school.,Je joue avec mon frère avant l'école.,to indicate that an event is before another → vor + Dat.,pour indiquer qu'un événement est antérieur à un autre → vor + Dat.,,
