Nr,exercise,question,answer,german,english,french,case_english,case_french,combination,explanation_verb_english,explanation_verb_french,explanation_preposition_english,explanation_preposition_french,explanation_english,explanation_french
1,1,die Erinnerung _____,an,die Erinnerung an,the memory of,"la mémoire de, le souvenir de",Accusative,Accusatif,die Erinnerung an,the memory of = die Erinnerung an + Accusative,"la mémoire de, le souvenir de = die Erinnerung an + Accusatif","to introduce the subject of a thought, with mental focus → an","pour introduire le sujet d'une pensée, avec un effort mentale → an","the memory of = die Erinnerung an + Accusative<br><br>to introduce the subject of a thought, with mental focus → an","la mémoire de, le souvenir de = die Erinnerung an + Accusatif<br><br>pour introduire le sujet d'une pensée, avec un effort mentale → an"
2,1,die Antwort _____,auf,die Antwort auf,the answer to,la réponse à,Accusative,Accusatif,die Antwort auf,the answer to = die Antwort auf + Accusative,la réponse à = die Antwort auf + Accusatif,to introduce an object of focus or a target → auf,pour introduire un objet de focalisation ou une cible → auf,the answer to = die Antwort auf + Accusative<br><br>to introduce an object of focus or a target → auf,la réponse à = die Antwort auf + Accusatif<br><br>pour introduire un objet de focalisation ou une cible → auf
3,1,die Konzentration _____,auf,die Konzentration auf,the concentration on,la concentration sur,Accusative,Accusatif,die Konzentration auf,the concentration on = die Konzentration auf + Accusative,la concentration sur = die Konzentration auf + Accusatif,to introduce an object of focus or a target → auf,pour introduire un objet de focalisation ou une cible → auf,the concentration on = die Konzentration auf + Accusative<br><br>to introduce an object of focus or a target → auf,la concentration sur = die Konzentration auf + Accusatif<br><br>pour introduire un objet de focalisation ou une cible → auf
4,1,die Übersetzung _____,aus,die Übersetzung aus,the translation from,"la traduction de, depuis",Dative,Datif,die Übersetzung aus,the translation from = die Übersetzung aus + Dative,"la traduction de, depuis = die Übersetzung aus + Datif",to introduce an origin or a constituent → aus,pour introduire une origine ou un composant → aus,the translation from = die Übersetzung aus + Dative<br><br>to introduce an origin or a constituent → aus,"la traduction de, depuis = die Übersetzung aus + Datif<br><br>pour introduire une origine ou un composant → aus"
5,1,die Entscheidung _____,für,die Entscheidung für,"the decision to, the decision in favor of",la décision de,Accusative,Accusatif,die Entscheidung für,"the decision to, the decision in favor of = die Entscheidung für + Accusative",la décision de = die Entscheidung für + Accusatif,to introduce an endorsement or an approval → für,pour introduire une approbation ou un accord → für,"the decision to, the decision in favor of = die Entscheidung für + Accusative<br><br>to introduce an endorsement or an approval → für",la décision de = die Entscheidung für + Accusatif<br><br>pour introduire une approbation ou un accord → für
6,1,die Entscheidung _____,gegen,die Entscheidung gegen,the decision against,la décision contre,Accusative,Accusatif,die Entscheidung gegen,the decision against = die Entscheidung gegen + Accusative,la décision contre = die Entscheidung gegen + Accusatif,to introduce a rejection or an opposition → gegen,pour introduire un rejet ou une opposition → gegen,the decision against = die Entscheidung gegen + Accusative<br><br>to introduce a rejection or an opposition → gegen,la décision contre = die Entscheidung gegen + Accusatif<br><br>pour introduire un rejet ou une opposition → gegen
7,1,die Übersetzung _____,in,die Übersetzung in,the translation into,la traduction en,Accusative,Accusatif,die Übersetzung in,the translation into = die Übersetzung in + Accusative,la traduction en = die Übersetzung in + Accusatif,to introduce a transformation → in,pour introduire une transformation → in,the translation into = die Übersetzung in + Accusative<br><br>to introduce a transformation → in,la traduction en = die Übersetzung in + Accusatif<br><br>pour introduire une transformation → in
8,1,die Diskussion _____,mit,die Diskussion mit,the discussion with,la discussion avec,Dative,Datif,die Diskussion mit,the discussion with = die Diskussion mit + Dative,la discussion avec = die Diskussion mit + Datif,to introduce a partner → mit,pour introduire un partenaire → mit,the discussion with = die Diskussion mit + Dative<br><br>to introduce a partner → mit,la discussion avec = die Diskussion mit + Datif<br><br>pour introduire un partenaire → mit
9,1,das Spiel _____,mit,das Spiel mit,the game with,le jeu avec,Dative,Datif,das Spiel mit,the game with = das Spiel mit + Dative,le jeu avec = das Spiel mit + Datif,to introduce a partner → mit,pour introduire un partenaire → mit,the game with = das Spiel mit + Dative<br><br>to introduce a partner → mit,le jeu avec = das Spiel mit + Datif<br><br>pour introduire un partenaire → mit
10,1,die Frage _____,nach,die Frage nach,the question about,"la question à propos de, la question sur",Dative,Datif,die Frage nach,the question about = die Frage nach + Dative,"la question à propos de, la question sur = die Frage nach + Datif",to introduce the object of a search or a desire → nach,pour introduire l'objet d'une recherche ou d'un désir → nach,the question about = die Frage nach + Dative<br><br>to introduce the object of a search or a desire → nach,"la question à propos de, la question sur = die Frage nach + Datif<br><br>pour introduire l'objet d'une recherche ou d'un désir → nach"
11,1,die Suche _____,nach,die Suche nach,the search for,la recherche de,Dative,Datif,die Suche nach,the search for = die Suche nach + Dative,la recherche de = die Suche nach + Datif,to introduce the object of a search or a desire → nach,pour introduire l'objet d'une recherche ou d'un désir → nach,the search for = die Suche nach + Dative<br><br>to introduce the object of a search or a desire → nach,la recherche de = die Suche nach + Datif<br><br>pour introduire l'objet d'une recherche ou d'un désir → nach
12,1,der Ärger _____,über,der Ärger über,the anger about,"la colère à propos de, la colère à l'égard de",Accusative,Accusatif,der Ärger über,the anger about = der Ärger über + Accusative,"la colère à propos de, la colère à l'égard de = der Ärger über + Accusatif",to introduce an emotional theme → über,pour introduire un thème émotionnel → über,the anger about = der Ärger über + Accusative<br><br>to introduce an emotional theme → über,"la colère à propos de, la colère à l'égard de = der Ärger über + Accusatif<br><br>pour introduire un thème émotionnel → über"
13,1,das Glück _____,über,das Glück über,the happiness about,le bonheur à propos de,Accusative,Accusatif,das Glück über,the happiness about = das Glück über + Accusative,le bonheur à propos de = das Glück über + Accusatif,to introduce an emotional theme → über,pour introduire un thème émotionnel → über,the happiness about = das Glück über + Accusative<br><br>to introduce an emotional theme → über,le bonheur à propos de = das Glück über + Accusatif<br><br>pour introduire un thème émotionnel → über
14,1,die Bitte _____,um,die Bitte um,the request for something,la demande de,Accusative,Accusatif,die Bitte um,the request for something = die Bitte um + Accusative,la demande de = die Bitte um + Accusatif,to introduce a central object of concern or covetousness → um,pour introduire un objet central d'intérêt ou de convoitise → um,the request for something = die Bitte um + Accusative<br><br>to introduce a central object of concern or covetousness → um,la demande de = die Bitte um + Accusatif<br><br>pour introduire un objet central d'intérêt ou de convoitise → um
15,1,der Traum _____,von,der Traum von,the dream of,le rêve de,Dative,Datif,der Traum von,the dream of = der Traum von + Dative,le rêve de = der Traum von + Datif,to introduce an expectation or a demand → von,pour introduire une attente ou une demande → von,the dream of = der Traum von + Dative<br><br>to introduce an expectation or a demand → von,le rêve de = der Traum von + Datif<br><br>pour introduire une attente ou une demande → von
16,2,Die Erinnerung _____ den Urlaub bleibt unvergesslich.,an,Die Erinnerung an den Urlaub bleibt unvergesslich.,The memory of the vacation remains unforgettable.,Le souvenir des vacances reste inoubliable.,,,die Erinnerung an,the memory of = die Erinnerung an + Accusative,"la mémoire de, le souvenir de = die Erinnerung an + Accusatif","to introduce the subject of a thought, with mental focus → an","pour introduire le sujet d'une pensée, avec un effort mentale → an","the memory of = die Erinnerung an + Accusative<br><br>to introduce the subject of a thought, with mental focus → an","la mémoire de, le souvenir de = die Erinnerung an + Accusatif<br><br>pour introduire le sujet d'une pensée, avec un effort mentale → an"
17,2,Seine Erinnerung _____ die Kindheit ist voller Freude.,an,Seine Erinnerung an die Kindheit ist voller Freude.,His memory of childhood is full of joy.,Son souvenir d’enfance est plein de joie.,,,die Erinnerung an,the memory of = die Erinnerung an + Accusative,"la mémoire de, le souvenir de = die Erinnerung an + Accusatif","to introduce the subject of a thought, with mental focus → an","pour introduire le sujet d'une pensée, avec un effort mentale → an","the memory of = die Erinnerung an + Accusative<br><br>to introduce the subject of a thought, with mental focus → an","la mémoire de, le souvenir de = die Erinnerung an + Accusatif<br><br>pour introduire le sujet d'une pensée, avec un effort mentale → an"
18,2,Ihre Erinnerung _____ das Konzert macht sie immer noch glücklich.,an,Ihre Erinnerung an das Konzert macht sie immer noch glücklich.,Her memory of the concert still makes her happy.,Son souvenir du concert la rend encore heureuse.,,,die Erinnerung an,the memory of = die Erinnerung an + Accusative,"la mémoire de, le souvenir de = die Erinnerung an + Accusatif","to introduce the subject of a thought, with mental focus → an","pour introduire le sujet d'une pensée, avec un effort mentale → an","the memory of = die Erinnerung an + Accusative<br><br>to introduce the subject of a thought, with mental focus → an","la mémoire de, le souvenir de = die Erinnerung an + Accusatif<br><br>pour introduire le sujet d'une pensée, avec un effort mentale → an"
19,2,Die Antwort _____ seine Frage war überraschend.,auf,Die Antwort auf seine Frage war überraschend.,The answer to his question was surprising.,La réponse à sa question était surprenante.,,,die Antwort auf,the answer to = die Antwort auf + Accusative,la réponse à = die Antwort auf + Accusatif,to introduce an object of focus or a target → auf,pour introduire un objet de focalisation ou une cible → auf,the answer to = die Antwort auf + Accusative<br><br>to introduce an object of focus or a target → auf,la réponse à = die Antwort auf + Accusatif<br><br>pour introduire un objet de focalisation ou une cible → auf
20,2,Ihre Antwort _____ die Kritik war sehr professionell.,auf,Ihre Antwort auf die Kritik war sehr professionell.,Her response to the criticism was very professional.,Sa réponse aux critiques a été très professionnelle.,,,die Antwort auf,the answer to = die Antwort auf + Accusative,la réponse à = die Antwort auf + Accusatif,to introduce an object of focus or a target → auf,pour introduire un objet de focalisation ou une cible → auf,the answer to = die Antwort auf + Accusative<br><br>to introduce an object of focus or a target → auf,la réponse à = die Antwort auf + Accusatif<br><br>pour introduire un objet de focalisation ou une cible → auf
21,2,Die Antwort _____ das Problem kam schneller als erwartet.,auf,Die Antwort auf das Problem kam schneller als erwartet.,The answer to the problem came faster than expected.,La réponse au problème est arrivée plus vite que prévu.,,,die Antwort auf,the answer to = die Antwort auf + Accusative,la réponse à = die Antwort auf + Accusatif,to introduce an object of focus or a target → auf,pour introduire un objet de focalisation ou une cible → auf,the answer to = die Antwort auf + Accusative<br><br>to introduce an object of focus or a target → auf,la réponse à = die Antwort auf + Accusatif<br><br>pour introduire un objet de focalisation ou une cible → auf
22,2,Die Konzentration _____ die Aufgabe ist entscheidend.,auf,Die Konzentration auf die Aufgabe ist entscheidend.,Concentration on the task is crucial.,La concentration sur la tâche est cruciale.,,,die Konzentration auf,the concentration on = die Konzentration auf + Accusative,la concentration sur = die Konzentration auf + Accusatif,to introduce an object of focus or a target → auf,pour introduire un objet de focalisation ou une cible → auf,the concentration on = die Konzentration auf + Accusative<br><br>to introduce an object of focus or a target → auf,la concentration sur = die Konzentration auf + Accusatif<br><br>pour introduire un objet de focalisation ou une cible → auf
23,2,Ihre Konzentration _____ die Prüfungsvorbereitung war beeindruckend.,auf,Ihre Konzentration auf die Prüfungsvorbereitung war beeindruckend.,Her focus on exam preparation was impressive.,Sa concentration sur la préparation aux examens était impressionnante.,,,die Konzentration auf,the concentration on = die Konzentration auf + Accusative,la concentration sur = die Konzentration auf + Accusatif,to introduce an object of focus or a target → auf,pour introduire un objet de focalisation ou une cible → auf,the concentration on = die Konzentration auf + Accusative<br><br>to introduce an object of focus or a target → auf,la concentration sur = die Konzentration auf + Accusatif<br><br>pour introduire un objet de focalisation ou une cible → auf
