Nr,exercise,level_verben,question,answer,german,english,french,case_english,case_french,verb,combination,explanation_verb_english,explanation_verb_french,explanation_preposition_english,explanation_preposition_french,explanation_english,explanation_french
1,1,A1,arbeiten _____,bei,arbeiten bei,to work at,travailler à,Dative,Datif,arbeiten,arbeiten bei,to work at = arbeiten bei + Dative,travailler à = arbeiten bei + Datif,to introduce a person or an institution → bei + Dat.,pour introduire une personne ou une institution → bei + Dat.,to work at = arbeiten bei + Dative<br>to introduce a person or an institution → bei + Dat.,travailler à = arbeiten bei + Datif<br>pour introduire une personne ou une institution → bei + Dat.
2,1,A1,arbeiten _____,an,arbeiten an,to work on,travailler sur,Dative,Datif,arbeiten,arbeiten an,to work on = arbeiten an + Dative,travailler sur = arbeiten an + Datif,to introduce an ongoing activity → an + Dat.,pour introduire une activité en cours → an + Dat.,to work on = arbeiten an + Dative<br>to introduce an ongoing activity → an + Dat.,travailler sur = arbeiten an + Datif<br>pour introduire une activité en cours → an + Dat.
3,1,A1,denken _____,an,denken an,to think of,penser à,Accusative,Accusatif,denken,denken an,to think of = denken an + Accusative,penser à = denken an + Accusatif,"to introduce the subject of a thought, with mental focus → an + Acc.","pour introduire le sujet d'une pensée, avec un effort mentale → an + Acc.","to think of = denken an + Accusative<br>to introduce the subject of a thought, with mental focus → an + Acc.","penser à = denken an + Accusatif<br>pour introduire le sujet d'une pensée, avec un effort mentale → an + Acc."
4,1,A1,glauben _____,an,glauben an,to believe in,croire en,Accusative,Accusatif,glauben,glauben an,to believe in = glauben an + Accusative,croire en = glauben an + Accusatif,"to introduce the subject of a thought, with mental focus → an + Acc.","pour introduire le sujet d'une pensée, avec un effort mentale → an + Acc.","to believe in = glauben an + Accusative<br>to introduce the subject of a thought, with mental focus → an + Acc.","croire en = glauben an + Accusatif<br>pour introduire le sujet d'une pensée, avec un effort mentale → an + Acc."
5,1,A1,hoffen _____,auf,hoffen auf,to hope for,espérer,Accusative,Accusatif,hoffen,hoffen auf,to hope for = hoffen auf + Accusative,espérer = hoffen auf + Accusatif,to introduce something in the future → auf + Acc.,pour introduire quelque chose dans le future → auf + Acc.,to hope for = hoffen auf + Accusative<br>to introduce something in the future → auf + Acc.,espérer = hoffen auf + Accusatif<br>pour introduire quelque chose dans le future → auf + Acc.
6,1,A1,sich interessieren _____,für,sich interessieren für,to be interested in,s'intéresser à,Accusative,Accusatif,interessieren,sich interessieren für,to be interested in = sich interessieren für + Accusative,s'intéresser à = sich interessieren für + Accusatif,"to introduce a purpose, a goal or a beneficiary → für + Acc.","pour introduire un objectif, un but ou un bénéficiaire → für + Acc.","to be interested in = sich interessieren für + Accusative<br>to introduce a purpose, a goal or a beneficiary → für + Acc.","s'intéresser à = sich interessieren für + Accusatif<br>pour introduire un objectif, un but ou un bénéficiaire → für + Acc."
7,1,A1,kommen _____,aus,kommen aus,to come from,venir de,Dative,Datif,kommen,kommen aus,to come from = kommen aus + Dative,venir de = kommen aus + Datif,to introduce an origin or a constituent → aus + Dat.,pour introduire une origine ou un composant → aus + Dat.,to come from = kommen aus + Dative<br>to introduce an origin or a constituent → aus + Dat.,venir de = kommen aus + Datif<br>pour introduire une origine ou un composant → aus + Dat.
8,1,A1,schreiben _____,über,schreiben über,to write about,écrire sur,Accusative,Accusatif,schreiben,schreiben über,to write about = schreiben über + Accusative,écrire sur = schreiben über + Accusatif,to introduce a general subject → über + Acc.,pour introduire un sujet général → über + Acc.,to write about = schreiben über + Accusative<br>to introduce a general subject → über + Acc.,écrire sur = schreiben über + Accusatif<br>pour introduire un sujet général → über + Acc.
9,1,A1,schreiben _____,an,schreiben an,to write to,écrire à,Accusative,Accusatif,schreiben,schreiben an,to write to = schreiben an + Accusative,écrire à = schreiben an + Accusatif,to introduce an addressee → an + Acc.,pour introduire un destinataire → an + Acc.,to write to = schreiben an + Accusative<br>to introduce an addressee → an + Acc.,écrire à = schreiben an + Accusatif<br>pour introduire un destinataire → an + Acc.
10,1,A1,sein _____,gegen,sein gegen,to be against,être contre,Accusative,Accusatif,sein,sein gegen,to be against = sein gegen + Accusative,être contre = sein gegen + Accusatif,to introduce a rejection or an opposition → gegen + Acc.,pour introduire un rejet ou une opposition → gegen + Acc.,to be against = sein gegen + Accusative<br>to introduce a rejection or an opposition → gegen + Acc.,être contre = sein gegen + Accusatif<br>pour introduire un rejet ou une opposition → gegen + Acc.
