Nr,exercise,question,answer,german,english,french,explanation_english,explanation_french,chatgpt
1,1,Ich habe lange gearbeitet und wurde _____ gelobt.,dafür,Ich habe lange gearbeitet und wurde dafür gelobt.,I worked for a long time and was praised for it.,J’ai travaillé longtemps et j’ai été félicité pour cela.,general translation of <i>for</i> → für + Acc.,traduction générale de <i>pour</i> → für + Acc.,für expresses the reason or basis of praise/reward.
2,1,Ich habe ein Ticket gekauft und viel Geld _____ bezahlt.,dafür,Ich habe ein Ticket gekauft und viel Geld dafür bezahlt.,I bought a ticket and paid a lot of money for it.,J’ai acheté un billet et j’ai payé beaucoup d’argent pour cela.,general translation of <i>for</i> → für + Acc.,traduction générale de <i>pour</i> → für + Acc.,für expresses the price or exchange for something.
3,1,Er hat einen Hammer genommen und _____ den Nagel eingeschlagen.,damit,Er hat einen Hammer genommen und damit den Nagel eingeschlagen.,He took a hammer and hammered in the nail with it.,Il a pris un marteau et a enfoncé le clou avec celui-ci.,general translation of <i>with</i> → mit + Dat.,traduction générale de <i>avec</i> → mit + Dat.,mit expresses the instrument or tool used.
4,1,Sie hat ein Messer gefunden und _____ das Brot geschnitten.,damit,Sie hat ein Messer gefunden und damit das Brot geschnitten.,She found a knife and cut the bread with it.,Elle a trouvé un couteau et a coupé le pain avec celui-ci.,general translation of <i>with</i> → mit + Dat.,traduction générale de <i>avec</i> → mit + Dat.,mit marks the means used to perform an action.
5,1,Ich habe eine neue App installiert und arbeite jetzt jeden Tag _____.,damit,Ich habe eine neue App installiert und arbeite jetzt jeden Tag damit.,I installed a new app and now work with it every day.,J’ai installé une nouvelle application et je travaille maintenant avec elle tous les jours.,general translation of <i>with</i> → mit + Dat.,traduction générale de <i>avec</i> → mit + Dat.,mit indicates the object someone works with.
6,1,Ich habe den Bericht gelesen und noch eine Frage _____.,dazu,Ich habe den Bericht gelesen und noch eine Frage dazu.,I read the report and still have a question about it.,J’ai lu le rapport et j’ai encore une question à ce sujet.,the question regarding = die Frage zu + Dative<br>to introduce an outcome or direction → zu + Dat.,la question concernant = die Frage zu + Datif<br>pour introduire un résultat ou une direction → zu + Dat.,zu often expresses reference to a topic or document.
7,1,Er hat Kopfschmerzen und nimmt _____ eine Tablette.,dagegen,Er hat Kopfschmerzen und nimmt dagegen eine Tablette.,He has a headache and takes a pill against it.,Il a mal à la tête et prend un comprimé contre cela.,general translation of <i>against</i> → gegen + Acc.,traduction générale de <i>contre</i> → gegen + Acc.,gegen expresses protection or remedy against something.
8,1,"Viele Leute sind für den Plan, aber ich bin _____.",dagegen,"Viele Leute sind für den Plan, aber ich bin dagegen.","Many people support the plan, but I am against it.","Beaucoup de gens soutiennent le projet, mais moi je suis contre.",general translation of <i>against</i> → gegen + Acc.,traduction générale de <i>contre</i> → gegen + Acc.,gegen indicates opposition to something.
9,1,"Es gibt viele Argumente für den Vorschlag, aber auch einige _____.",dagegen,"Es gibt viele Argumente für den Vorschlag, aber auch einige dagegen.","There are many arguments for the proposal, but also some against it.","Il y a beaucoup d’arguments pour la proposition, mais aussi certains contre.",general translation of <i>against</i> → gegen + Acc.,traduction générale de <i>contre</i> → gegen + Acc.,gegen expresses arguments opposing something.
10,1,Wir haben zuerst gegessen und sind _____ spazieren gegangen.,danach,Wir haben zuerst gegessen und sind danach spazieren gegangen.,We first ate and after that went for a walk.,Nous avons d’abord mangé et après cela nous sommes allés nous promener.,to indicate that an event is <i>after</i> another → nach + Dat.,pour indiquer qu'un événement survient après un autre → nach + Dat.,nach expresses temporal sequence: after something.
11,1,Er hat die Prüfung gemacht und _____ Urlaub genommen.,danach,Er hat die Prüfung gemacht und danach Urlaub genommen.,He took the exam and after that took a vacation.,Il a passé l’examen et après cela a pris des vacances.,to indicate that an event is <i>after</i> another → nach + Dat.,pour indiquer qu'un événement survient après un autre → nach + Dat.,nach marks something happening later in time.
12,1,Wir haben das Problem gelöst und uns _____ entspannen können.,danach,Wir haben das Problem gelöst und uns danach entspannen können.,We solved the problem and after that were able to relax.,Nous avons résolu le problème et après cela nous avons pu nous détendre.,to indicate that an event is <i>after</i> another → nach + Dat.,pour indiquer qu'un événement survient après un autre → nach + Dat.,nach shows the time after an event.
13,1,Ich denke oft _____ und werde dabei ein bisschen traurig.,daran,Ich denke oft daran und werde dabei ein bisschen traurig.,I often think about it and become a bit sad.,J’y pense souvent et cela me rend un peu triste.,"to think of = denken an + Accusative<br>to introduce the subject of a thought, with mental focus → an + Acc.","penser à = denken an + Accusatif<br>pour introduire le sujet d'une pensée, avec un effort mentale → an + Acc.",an is used with denken an etwas (“to think about something”).
14,1,Wir arbeiten schon lange _____ und machen gute Fortschritte.,daran,Wir arbeiten schon lange daran und machen gute Fortschritte.,We have been working on it for a long time and are making good progress.,Nous travaillons là-dessus depuis longtemps et faisons de bons progrès.,to work on = arbeiten an + Dative<br>to introduce an ongoing activity → an + Dat.,travailler sur = arbeiten an + Datif<br>pour introduire une activité en cours → an + Dat.,an is required by an etwas arbeiten (“to work on something”).
15,1,Ich habe lange gewartet und mich sehr _____ gefreut.,darauf,Ich habe lange gewartet und mich sehr darauf gefreut.,I waited a long time and was looking forward to it.,J’ai longtemps attendu et je m’en suis beaucoup réjoui.,to look forward to = sich freuen auf + Accusative<br>to introduce something in the future → auf + Acc.,attendre avec impatience = sich freuen auf + Accusatif<br>pour introduire quelque chose dans le future → auf + Acc.,auf is used with sich freuen auf etwas (“to look forward to something”).
16,1,Er hat mich eingeladen und ich habe sofort _____ geantwortet.,darauf,Er hat mich eingeladen und ich habe sofort darauf geantwortet.,He invited me and I replied to it immediately.,Il m’a invité et j’y ai répondu immédiatement.,to answer something = antworten auf + Accusative<br>to introduce an object of focus or a target → auf + Acc.,répondre à = antworten auf + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc.,auf appears with auf etwas antworten (“to reply to something”).
17,1,Wir warten schon seit einer Stunde _____.,darauf,Wir warten schon seit einer Stunde darauf.,We have been waiting for it for an hour.,Nous attendons cela depuis une heure.,to wait for = warten auf + Accusative<br>to introduce something in the future → auf + Acc.,attendre = warten auf + Accusatif<br>pour introduire quelque chose dans le future → auf + Acc.,auf is required by auf etwas warten (“to wait for something”).
18,1,Er hat einen Fehler gemacht und viel _____ gelernt.,daraus,Er hat einen Fehler gemacht und viel daraus gelernt.,He made a mistake and learned a lot from it.,Il a fait une erreur et a beaucoup appris de cela.,"to indicate a local origin as opposite of ""<i>in</i>"" – <i>out of</i> → aus + Dat.","pour indiquer une origine locale comme opposé à ""<i>in</i>"" → aus + Dat.",aus expresses origin or source (aus etwas lernen).
