exercise,question,answer,german,english,french,case_english,case_french
1,0,"""null""",,,,,
1,1,eins,,,,,
1,2,zwei,,,,,
1,3,drei,,,,,
1,4,vier,,,,,
1,5,fünf,,,,,
1,6,sechs,,,,,
1,7,sieben,,,,,
1,8,acht,,,,,
1,9,neun,,,,,
1,10,zehn,,,,,
2,11,elf,,,,,
2,12,zwölf,,,,,
2,13,dreizehn,,,,,
2,14,vierzehn,,,,,
2,15,fünfzehn,,,,,
2,16,sechzehn,,,,,
2,17,siebzehn,,,,,
2,18,achtzehn,,,,,
2,19,neunzehn,,,,,
2,20,zwanzig,,,,,
3,21,einundzwanzig,,,,,
3,27,siebenundzwanzig,,,,,
3,33,dreiunddreißig,,,,,
3,41,einundvierzig,,,,,
3,42,zweiundvierzig,,,,,
3,44,vierundvierzig,,,,,
3,45,fünfundvierzig,,,,,
3,46,sechsundvierzig,,,,,
3,56,sechsundfünfzig,,,,,
3,64,vierundsechzig,,,,,
3,65,fünfundsechzig,,,,,
3,67,siebenundsechzig,,,,,
3,68,achtundsechzig,,,,,
3,72,zweiundsiebzig,,,,,
3,81,einundachtzig,,,,,
3,83,dreiundachtzig,,,,,
3,85,fünfundachtzig,,,,,
3,95,fünfundneunzig,,,,,
3,96,sechsundneunzig,,,,,
3,30,dreißig,,,,,
4,99,neunundneunzig,,,,,
4,90,neunzig,,,,,
4,23,dreiundzwanzig,,,,,
4,28,achtundzwanzig,,,,,
4,29,neunundzwanzig,,,,,
4,38,achtunddreißig,,,,,
4,47,siebenundvierzig,,,,,
4,51,einundfünfzig,,,,,
4,52,zweiundfünfzig,,,,,
4,55,fünfundfünfzig,,,,,
4,57,siebenundfünfzig,,,,,
4,58,achtundfünfzig,,,,,
4,59,neunundfünfzig,,,,,
4,71,einundsiebzig,,,,,
4,75,fünfundsiebzig,,,,,
4,86,sechsundachtzig,,,,,
4,89,neunundachtzig,,,,,
4,93,dreiundneunzig,,,,,
4,97,siebenundneunzig,,,,,
4,40,vierzig,,,,,
5,79,neunundsiebzig,,,,,
5,84,vierundachtzig,,,,,
5,70,siebzig,,,,,
5,80,achtzig,,,,,
5,31,einunddreißig,,,,,
5,34,vierunddreißig,,,,,
5,35,fünfunddreißig,,,,,
5,36,sechsunddreißig,,,,,
5,37,siebenunddreißig,,,,,
5,43,dreiundvierzig,,,,,
5,63,dreiundsechzig,,,,,
5,66,sechsundsechzig,,,,,
5,69,neunundsechzig,,,,,
5,73,dreiundsiebzig,,,,,
5,76,sechsundsiebzig,,,,,
5,77,siebenundsiebzig,,,,,
5,78,achtundsiebzig,,,,,
5,82,zweiundachtzig,,,,,
5,87,siebenundachtzig,,,,,
5,92,zweiundneunzig,,,,,
6,94,vierundneunzig,,,,,
6,98,achtundneunzig,,,,,
6,50,fünfzig,,,,,
6,60,sechzig,,,,,
6,22,zweiundzwanzig,,,,,
6,24,vierundzwanzig,,,,,
6,25,fünfundzwanzig,,,,,
6,26,sechsundzwanzig,,,,,
6,32,zweiunddreißig,,,,,
6,39,neununddreißig,,,,,
6,48,achtundvierzig,,,,,
6,49,neunundvierzig,,,,,
6,53,dreiundfünfzig,,,,,
6,54,vierundfünfzig,,,,,
6,61,einundsechzig,,,,,
6,62,zweiundsechzig,,,,,
6,74,vierundsiebzig,,,,,
6,88,achtundachtzig,,,,,
6,91,einundneunzig,,,,,
6,100,hundert,,,,,
7,104,hundertvier,,,,,
7,117,hundertsiebzehn,,,,,
7,142,hundertzweiundvierzig,,,,,
7,189,hundertneunundachtzig,,,,,
7,203,zweihundertdrei,,,,,
7,256,zweihundertsechsundfünfzig,,,,,
7,318,dreihundertachtzehn,,,,,
7,364,dreihundertvierundsechzig,,,,,
7,401,vierhunderteins,,,,,
7,459,vierhundertneunundfünfzig,,,,,
7,512,fünfhundertzwölf,,,,,
7,578,fünfhundertachtundsiebzig,,,,,
7,623,sechshundertdreiundzwanzig,,,,,
7,689,sechshundertneunundachtzig,,,,,
7,734,siebenhundertvierunddreißig,,,,,
7,781,siebenhunderteinundachtzig,,,,,
7,846,achthundertsechsundvierzig,,,,,
7,892,achthundertzweiundneunzig,,,,,
7,915,neunhundertfünfzehn,,,,,
7,967,neunhundertsiebenundsechzig,,,,,
8,1'024,eintausendvierundzwanzig,,,,,
8,1'587,eintausendfünfhundertsiebenundachtzig,,,,,
8,2'346,zweitausenddreihundertsechsundvierzig,,,,,
8,3'019,dreitausendneunzehn,,,,,
8,4'782,viertausendsiebenhundertzweiundachtzig,,,,,
8,6'105,sechstausendeinhundertfünf,,,,,
8,7'439,siebentausendvierhundertneununddreißig,,,,,
8,9'864,neuntausendachthundertvierundsechzig,,,,,
8,12'508,zwölftausendfünfhundertacht,,,,,
8,18'231,achtzehntausendzweihunderteinunddreißig,,,,,
8,25'790,fünfundzwanzigtausendsiebenhundertneunzig,,,,,
8,41'604,einundvierzigtausendsechshundertvier,,,,,
8,58'319,achtundfünfzigtausenddreihundertneunzehn,,,,,
8,73'450,dreiundsiebzigtausendvierhundertfünfzig,,,,,
8,96'002,sechsundneunzigtausendzwei,,,,,
8,143'678,einhundertdreiundvierzigtausendsechshundertachtundsiebzig,,,,,
8,219'504,zweihundertneunzehntausendfünfhundertvier,,,,,
8,387'920,dreihundertsiebenundachtzigtausendneunhundertzwanzig,,,,,
8,542'118,fünfhundertzweiundvierzigtausendeinhundertachtzehn,,,,,
8,876'345,achthundertsechsundsiebzigtausenddreihundertfünfundvierzig,,,,,
9,8:00,acht Uhr/acht Uhr null,,,,,
9,8:15,acht Uhr fünfzehn/Viertel nach acht,,,,,
9,8:30,acht Uhr dreißig/halb neun,,,,,
9,8:45,acht Uhr fünfundvierzig/Viertel vor neun,,,,,
9,9:30,neun Uhr dreißig/halb zehn,,,,,
9,10:05,zehn Uhr fünf/fünf nach zehn,,,,,
9,10:20,zehn Uhr zwanzig/zwanzig nach zehn,,,,,
9,11:40,elf Uhr vierzig/zwanzig vor zwölf,,,,,
9,12:00,zwölf Uhr/zwölf Uhr null,,,,,
9,12:30,zwölf Uhr dreißig/halb eins,,,,,
9,13:15,dreizehn Uhr fünfzehn/Viertel nach eins,,,,,
9,14:45,vierzehn Uhr fünfundvierzig/Viertel vor drei,,,,,
9,16:10,sechzehn Uhr zehn/zehn nach vier,,,,,
9,17:50,siebzehn Uhr fünfzig/zehn vor sechs,,,,,
9,18:00,achtzehn Uhr/sechs Uhr,,,,,
9,19:30,neunzehn Uhr dreißig/halb acht,,,,,
9,20:00,zwanzig Uhr/acht Uhr,,,,,
9,20:20,zwanzig Uhr zwanzig/zwanzig nach acht,,,,,
