Nr,exercise,question,answer,combination,german,english,french,gender_english,gender_french,expression,case_preposition,explanation_english,explanation_french,verb,level verb NVV,level verb root,level chatgpt,NVV,is_NVV,root_verb
1,1,vor etw.<sup>Dat</sup> _____ haben,Angst,Angst haben,vor etw.<sup>Dat</sup> Angst haben,to be afraid of,avoir peur de,Feminine,Féminin,vor etw.<sup>Dat</sup> Angst haben,vor + Dat.,vor etw.<sup>Dat</sup> Angst haben = to be afraid of,vor etw.<sup>Dat</sup> Angst haben = avoir peur de,,,B1,B1,Angst haben,borderline NVV,sich fürchten
2,1,_____ stellen,eine Frage,eine Frage stellen,eine Frage stellen,to ask a question,poser une question,Feminine,Féminin,,an + Dat.,eine Frage stellen = to ask a question,eine Frage stellen = poser une question,,,A1,B1,eine Frage stellen,yes,fragen
3,1,_____ geben,eine Antwort,eine Antwort geben,eine Antwort geben,"to answer, to give an answer",répondre,Feminine,Féminin,,auf + Acc.,"eine Antwort geben = to answer, to give an answer",eine Antwort geben = répondre,,,A2,B1,eine Antwort geben,yes,antworten
4,1,_____ geben,einen Rat,einen Rat geben,einen Rat geben,"to advise, to give some advice","conseiller, donner un conseil",Masculine,Masculin,,,"einen Rat geben = to advise, to give some advice","einen Rat geben = conseiller, donner un conseil",,,B1,B1B2,einen Rat geben,yes,raten
5,1,_____ machen,einen Vorschlag,"einen Vorschlag machen, einen Vorschlag unterbreiten","einen Vorschlag machen, einen Vorschlag unterbreiten","to suggest, to make a suggestion","suggérer, faire une suggestion",Masculine,Masculin,,für + Acc.,"einen Vorschlag machen, einen Vorschlag unterbreiten = to suggest, to make a suggestion","einen Vorschlag machen, einen Vorschlag unterbreiten = suggérer, faire une suggestion",,,B1,B1B2,"einen Vorschlag machen, einen Vorschlag unterbreiten",yes,vorschlagen
6,1,_____ haben,Hoffnung,Hoffnung haben,Hoffnung haben,to hope,"espérer, avoir de l'espoir",Feminine,Féminin,,auf + Acc.,Hoffnung haben = to hope,"Hoffnung haben = espérer, avoir de l'espoir",,,A1,B1,Hoffnung haben,borderline NVV,hoffen
7,1,sich<sup>Dat</sup> _____ um etw.<sup>Acc</sup> machen,Sorgen,sich Sorgen machen,sich<sup>Dat</sup> Sorgen um etw.<sup>Acc</sup> machen,to worry,"s'inquiéter, se faire du soucis",Neuter,Neutre,sich<sup>Dat</sup> Sorgen um etw.<sup>Acc</sup> machen,um + Acc.,sich<sup>Dat</sup> Sorgen um etw.<sup>Acc</sup> machen = to worry,"sich<sup>Dat</sup> Sorgen um etw.<sup>Acc</sup> machen = s'inquiéter, se faire du soucis",,,A2,B1,sich Sorgen machen,yes,sich sorgen
8,1,_____ haben,Lust/Bock,Lust haben,auf etw.<sup>Acc</sup> Lust haben,"to want, to feel like",avoir envie de,Feminine,Féminin,auf etw.<sup>Acc</sup> Lust haben,auf + Acc.,"auf etw.<sup>Acc</sup> Lust haben = to want, to feel like",auf etw.<sup>Acc</sup> Lust haben = avoir envie de,,,B1,,Lust haben,idiomatic expression,"wollen, Lust verspüren"
9,1,an etw.<sup>Dat</sup> _____ haben,Spaß,Spaß haben,an etw.<sup>Dat</sup> Spaß haben,to have fun (active),s'amuser (actif),Masculine,Masculin,an etw.<sup>Dat</sup> Spaß haben,an + Dat. / bei + Dat.,an etw.<sup>Dat</sup> Spaß haben = to have fun (active),an etw.<sup>Dat</sup> Spaß haben = s'amuser (actif),haben,,B1,,Spaß haben,idiomatic expression,sich amüsieren
10,1,_____ machen,Spaß,Spaß machen,Spaß machen,"to be fun, to amuse (passive)","amuser, plaire, faire plaisir (passif)",Masculine,Masculin,,,"Spaß machen = to be fun, to amuse (passive)","Spaß machen = amuser, plaire, faire plaisir (passif)",machen,,B1,,Spaß machen,semi-NVV,erfreuen
