Nr,exercise,points,german,english,comparative,superlative,opposite,,,
1,1. A1,15,alt,old,älter,am ältesten,jung,,1. A1,60
2,1. A1,15,jung,young,jünger,am jüngsten,alt,,2. A2,60
3,1. A1,15,neu,new,neuer,am neuesten,,,3. B1,107
4,1. A1,11,billig,cheap,billiger,am billigsten,teuer,,4. B2,148
5,1. A1,13,teuer,expensive,teurer,am teuersten,billig,,5. C1,408
6,1. A1,12,blau,blue,blauer,am blausten,,,,
7,1. A1,10,braun,brown,brauner,am braunsten,,,15,17
8,1. A1,13,grün,green,grüner,am grünsten,,,14,15
9,1. A1,12,gelb,yellow,gelber,am gelbsten,,,13,26
10,1. A1,12,grau,grey,grauer,am grausten,,,12,36
11,1. A1,14,rot,red,roter,am rotesten,,,11,60
12,1. A1,14,schwarz,black,schwärzer,am schwärzesten,weiß,,10,51
13,1. A1,9,weiß,white,weißer,am weißesten,schwarz,,9,74
14,1. A1,15,einfach,"easy, simple",einfacher,am einfachsten,schwierig,,8,100
15,1. A1,13,schwierig,difficult,schwieriger,am schwierigsten,einfach,,7,85
16,1. A1,15,richtig,right,richtiger,am richtigsten,falsch,,6,220
17,1. A1,13,falsch,wrong,falscher,am falschesten,richtig,,5,15
18,1. A1,12,wahr,true,wahrer,am wahrsten,,,4,39
19,1. A1,14,frei,free,freier,am freiesten,,,3,43
20,1. A1,15,groß,big,größer,am größten,klein,,2,0
21,1. A1,15,klein,small,kleiner,am kleinsten,groß,,1,0
22,1. A1,15,gut,good,besser,am besten,schlecht,,0,0
23,1. A1,14,schlecht,bad,schlechter,am schlechtesten,gut,,,
24,1. A1,13,normal,normal,normaler,am normalsten,,,,
25,1. A1,15,schnell,fast,schneller,am schnellsten,langsam,,,
26,1. A1,13,langsam,slow,langsamer,am langsamsten,schnell,,,
27,1. A1,15,schön,beautiful,schöner,am schönsten,hässlich,,,
28,1. A1,6,hässlich,ugly,hässlicher,am hässlichsten,schön,,,
29,1. A1,13,früh,early,früher,am frühesten,spät,,,
30,1. A1,14,spät,late,später,am spätesten,früh,,,
31,1. A1,11,viel,much,mehr,am meisten,wenig,,,
32,1. A1,10,wenig,little,weniger,am wenigsten,viel,,,
33,1. A1,10,arm,poor,ärmer,am ärmsten,reich,,,
34,1. A1,11,reich,rich,reicher,am reichsten,arm,,,
35,1. A1,12,heiß,hot,heißer,am heißesten,kalt,,,
36,1. A1,12,kalt,cold,kälter,am kältesten,heiß,,,
37,1. A1,11,sauber,clean,sauberer,am saubersten,schmutzig,,,
38,1. A1,9,schmutzig,dirty,schmutziger,am schmutzigsten,sauber,,,
39,1. A1,15,hoch,high,höher,am höchsten,niedrig,,,
40,1. A1,10,niedrig,low,niedriger,am niedrigsten,hoch,,,
41,1. A1,11,weit,far,weiter,am weitesten,nahe,,,
42,1. A1,4,nahe,near,näher,am nächsten,weit,,,
43,1. A1,12,glücklich,happy,glücklicher,am glücklichsten,,,,
44,1. A1,11,lustig,funny,lustiger,am lustigsten,,,,
45,1. A1,10,müde,tired,müder,am müdesten,,,,
46,1. A1,9,dumm,stupid,dümmer,am dümmsten,klug,,,
47,1. A1,9,klug,smart,klüger,am klügsten,dumm,,,
48,1. A1,11,nett,nice,netter,am nettesten,,,,
49,1. A1,5,neblig,foggy,,,,,,
50,1. A1,8,sonnig,sunny,,,,,,
51,1. A1,5,windig,windy,,,,,,
52,1. A1,11,hell,bright,heller,am hellsten,dunkel,,,
53,1. A1,10,traurig,sad,,,,,,
54,1. A1,15,gleich,same,,,,,,
55,1. A1,14,schwer,heavy,schwerer,am schwersten,leicht,,,
56,1. A1,#N/A,anders,different,,,,,,
57,1. A1,15,wichtig,important,wichtiger,am wichtigsten,,,,
58,1. A1,11,krank,sick,kränker,am kränksten,gesund,,,
59,1. A1,11,gesund,healthy,,,krank,,,
60,1. A1,14,klar,clear,klarer,am klarsten,,,,
61,2. A2,15,kurz,short,kürzer,am kürzesten,lang,,,
62,2. A2,15,lang,long,länger,am längsten,kurz,,,
63,2. A2,12,dunkel,dark,dunkler,am dunkelsten,hell,,,
64,2. A2,14,leicht,light,leichter,am leichtesten,schwer,,,
65,2. A2,10,dünn,thin,dünner,am dünnsten,dick,,,
66,2. A2,13,breit,wide,breiter,am breitesten,,,,
67,2. A2,9,letzt,last,,,,,,
68,2. A2,9,kaputt,broken,,,,,,
69,2. A2,9,pünktlich,punctual,,,,,,
70,2. A2,9,komisch,"funny, strange",,,,,,
71,2. A2,12,laut,loud,lauter,am lautesten,leise,,,
72,2. A2,13,ruhig,quiet,,,,,,
73,2. A2,9,nervös,nervous,,,,,,
74,2. A2,11,leise,quiet,leiser,am leisesten,laut,,,
75,2. A2,13,tot,dead,,,,,,
76,2. A2,10,bitter,bitter,,,,,,
77,2. A2,11,dick,fat,dicker,am dicksten,dünn,,,
78,2. A2,12,zufrieden,satisfied,,,,,,
79,2. A2,8,sauer,sour,,,,,,
80,2. A2,10,bequem,comfortable,,,,,,
81,2. A2,9,scharf,spicy,,,,,,
82,2. A2,9,blöd,stupid,,,,,,
83,2. A2,9,süß,sweet,,,,,,
84,2. A2,13,einzeln,single,,,,,,
85,2. A2,11,warm,warm,wärmer,am wärmsten,,,,
86,2. A2,8,faul,lazy,,,,,,
87,2. A2,9,kühl,cool,,,,,,
88,2. A2,14,ganz,quite,,,,,,
89,2. A2,11,trocken,dry,,,nass,,,
90,2. A2,6,nass,wet,,,trocken,,,
91,2. A2,8,weich,soft,,,hart,,,
92,2. A2,12,hart,hard,,,weich,,,
93,2. A2,11,freundlich,friendly,,,,,,
94,2. A2,10,super,super,,,,,,
95,2. A2,8,sympathisch,sympathetic,,,,,,
96,2. A2,12,toll,great,,,,,,
97,2. A2,11,schwach,weak,,,stark,,,
98,2. A2,14,stark,strong,,,schwach,,,
99,2. A2,9,langweilig,boring,,,,,,
100,2. A2,10,kostenlos,free,,,,,,
101,2. A2,11,arbeitslos,unemployed,,,,,,
102,2. A2,12,wunderbar,wonderful,,,,,,
103,2. A2,12,aktiv,active,,,,,,
104,2. A2,13,fertig,finished,,,,,,
105,2. A2,12,günstig,cheap,,,,,,
106,2. A2,12,eng,tight,,,,,,
107,2. A2,11,froh,happy,,,,,,
108,2. A2,15,deutsch,german,,,,,,
109,2. A2,12,notwendig,necessary,,,,,,
110,2. A2,14,rund,round,,,,,,
111,2. A2,12,schlimm,bad,,,,,,
112,2. A2,12,automatisch,automatic,,,,,,
113,2. A2,14,international,international,,,,,,
114,2. A2,13,kulturell,cultural,,,,,,
115,2. A2,15,möglich,possible,,,,,,
116,2. A2,13,aktuell,current,,,,,,
117,2. A2,13,fremd,foreign,,,,,,
118,2. A2,11,erfolgreich,successful,,,,,,
119,2. A2,11,leer,empty,,,voll,,,
120,2. A2,13,voll,"full, fully",,,leer,,,
121,3. B1,12,sicher,"safe, secure",,,,,,
122,3. B1,13,lieb,lovely,,,,,,
123,3. B1,13,genau,precise,,,,,,
124,3. B1,11,streng,strict,,,,,,
125,3. B1,11,sportlich,athletic,,,,,,
126,3. B1,14,eigen,own,,,,,,
127,3. B1,11,frisch,fresh,,,,,,
128,3. B1,11,gefährlich,dangerous,,,,,,
129,3. B1,13,modern,modern,,,,,,
130,3. B1,13,praktisch,practical,,,,,,
131,3. B1,10,natürlich,natural,,,,,,
132,3. B1,9,nützlich,useful,,,,,,
133,3. B1,12,privat,private,,,,,,
134,3. B1,11,total,total,,,,,,
135,3. B1,10,männlich,male,,,,,,
136,3. B1,10,gültig,valid,,,,,,
137,3. B1,11,weiblich,feminine,,,,,,
138,3. B1,11,willkommen,welcome,,,,,,
139,3. B1,11,bunt,colorful,,,,,,
140,3. B1,13,deutlich,clear,,,,,,
141,3. B1,13,direkt,direct,,,,,,
142,3. B1,12,echt,real,,,,,,
143,3. B1,13,tief,deep,,,,,,
144,3. B1,11,typisch,typical,,,,,,
145,3. B1,11,ausländisch,foreign,,,,,,
146,3. B1,14,europäisch,European,,,,,,
147,3. B1,11,freiwillig,voluntary,,,,,,
148,3. B1,11,absolut,absolutely,,,,,,
149,3. B1,12,allgemein,general,,,,,,
150,3. B1,8,alltäglich,everyday,,,,,,
151,3. B1,10,angenehm,pleasant,,,,,,
152,3. B1,10,aufmerksam,attentive,,,,,,
153,3. B1,10,bereit,ready,,,,,,
154,3. B1,10,beruflich,professional,,,,,,
155,3. B1,4,besonder,special,,,,,,
156,3. B1,8,dankbar,grateful,,,,,,
157,3. B1,10,ehrlich,honest,,,,,,
158,3. B1,10,eindeutig,clear,,,,,,
159,3. B1,12,einzig,"unique, only",,,,,,
160,3. B1,10,elektronisch,electronic,,,,,,
161,3. B1,10,endgültig,final,,,,,,
162,3. B1,11,erforderlich,necessary,,,,,,
163,3. B1,10,ernst,serious,,,,,,
164,3. B1,10,eventuell,possibly,,,,,,
165,3. B1,10,extrem,extremely,,,,,,
166,3. B1,11,fest,firm,,,,,,
167,3. B1,11,finanziell,financial,,,,,,
168,3. B1,9,flexibel,flexible,,,,,,
169,3. B1,12,gemeinsam,together,,,,,,
