Nr,exercise,level_verben,Nr_verben,level_noun,level_goethe,level_routledge,question,answer,german,root_english,english,root_french,french,german_verb,english_verb,french_verb,german_noun,english_noun,french_noun,gender_english,gender_french
1,1,A1,29,A1,A1,A1,die Sprache,sprechen,,"the language, the speech",to speak,Loading...,parler (une langue),sprechen,to speak,parler (une langue),die Sprache,"the language, the speech",Loading...,,
2,1,A1,29,A1,A1,A1,das Gespräch,sprechen,,the conversation,to speak,Loading...,parler (une langue),sprechen,to speak,parler (une langue),das Gespräch,the conversation,Loading...,,
3,1,A1,37,A1,A1,A1,das Leben,leben,,the life,to live,la vie,vivre,leben,to live,vivre,das Leben,the life,la vie,,
4,1,A1,38,A1,A1,A1,die Arbeit,arbeiten,,the work,to work,Loading...,travailler,arbeiten,to work,travailler,die Arbeit,the work,Loading...,,
5,1,A1,39,A1,A1,A1,das Essen,essen,,"the meal, the food",to eat,"le repas, la nourriture",manger,essen,to eat,manger,das Essen,"the meal, the food","le repas, la nourriture",,
6,1,A1,24,A1,A2,A1,die Liebe,lieben,,the love,to love,Loading...,"aimer, être amoureux de",lieben,to love,"aimer, être amoureux de",die Liebe,the love,Loading...,,
7,1,A1,34,A2,A2,A1,die Kenntnis,kennen,,the knowledge,"to know, to be acquainted with, to be familiar with",la connaissance,"connaître, être familier avec",kennen,"to know, to be acquainted with, to be familiar with","connaître, être familier avec",die Kenntnis,the knowledge,la connaissance,,
8,1,A1,43,A1,A2,A1,das Spiel,spielen,,the game,to play,Loading...,jouer,spielen,to play,jouer,das Spiel,the game,Loading...,,
9,1,A1,47,A1,A1,A1,die Frage,fragen,,the question,"to ask, to wonder (refl.)",Loading...,"demander, se demander (réfl.)",fragen,"to ask, to wonder (refl.)","demander, se demander (réfl.)",die Frage,the question,Loading...,,
10,1,A1,51,A1,A1,B1,das Getränk,trinken,,the drink,to drink,Loading...,boire,trinken,to drink,boire,das Getränk,the drink,Loading...,,
11,1,A1,62,A1,A1,A1,die Wohnung,wohnen,,the apartment,"to live, to reside, to dwell",l'appartement,"vivre, résider, habiter",wohnen,"to live, to reside, to dwell","vivre, résider, habiter",die Wohnung,the apartment,l'appartement,,
12,1,A1,66,A1,A1,A1,der Zug,ziehen,,the train,"to pull, to drag, to move",Loading...,"tirer, traîner, déplacer",ziehen,"to pull, to drag, to move","tirer, traîner, déplacer",der Zug,the train,Loading...,,
13,1,A1,76,A1,A1,A2,der Regen,regnen,,the rain,to rain,Loading...,pleuvoir,regnen,to rain,pleuvoir,der Regen,the rain,Loading...,,
14,1,A1,78,A2,A1,A2,die Führung,führen,,the leadership,"to lead, to guide",Loading...,"guider, conduire",führen,"to lead, to guide","guider, conduire",die Führung,the leadership,Loading...,,
15,1,A1,82,A2,A1,,der Anruf,anrufen,,the call,"to call by telephone, to call on (someone)",Loading...,appeler par téléphone,anrufen,"to call by telephone, to call on (someone)",appeler par téléphone,der Anruf,the call,Loading...,,
16,1,A1,84,A1,A1,A1,der Anfang,anfangen,,the beginning,to begin something new,Loading...,commencer quelque chose de nouveau,anfangen,to begin something new,commencer quelque chose de nouveau,der Anfang,the beginning,Loading...,,
17,1,A1,88,A2,B1,A1,der Beginn,beginnen,,the beginning,to begin (on a certain date or time),Loading...,commencer (à une certaine date ou heure),beginnen,to begin (on a certain date or time),commencer (à une certaine date ou heure),der Beginn,the beginning,Loading...,,
18,1,A1,77,A1,A2,A2,der Schnee,schneien,,the snow,to snow,Loading...,neiger,schneien,to snow,neiger,der Schnee,the snow,Loading...,,
19,1,A1,4,A1,A2,A1,die Kunst,können,,the art,"can, to be able to",Loading...,"pouvoir, être capable de",können,"can, to be able to","pouvoir, être capable de",die Kunst,the art,Loading...,,
