exercise,input,output
adjektiv,phantastisch,fantastisch
adjektiv,selbstständig,selbständig
adverbien,draussen,aussen
adverbien,weiterhin,ausserdem
adverbien,zudem,ausserdem
adverbien,insbesondere,besonders
adverbien,bzw,beziehungsweise
adverbien,bzw.,beziehungsweise
adverbien,bislang,bisher
adverbien,etwa,circa
adverbien,zirka,circa
adverbien,anschliessend,danach
adverbien,umso,desto
adverbien,tatsächlich,eigentlich
adverbien,einst,einmal
adverbien,schliesslich,endlich
adverbien,zuletzt,endlich
adverbien,letztlich,endlich
adverbien,überhaupt,gar
adverbien,zugleich,gleichzeitig
adverbien,heut,heute
adverbien,stets,immer
adverbien,ständig,immer
adverbien,drinnen,innen
adverbien,mittlerweile,inzwischen
adverbien,in der Zwischenzeit,inzwischen
adverbien,größtenteils,meistens
adverbien,wenigstens,mindestens
adverbien,zumindest,mindestens
adverbien,selbstverständlich,natürlich
adverbien,lediglich,nur
adverbien,häufig,oft
adverbien,bereits,schon
adverbien,ohnehin,sowieso
adverbien,usw,und so weiter
adverbien,usw.,und so weiter
adverbien,anfänglich,ürsprunglich
adverbien,möglicherweise,vielleicht
adverbien,kürzlich,vor kurzem
adverbien,zuvor,vorher
adverbien,davor,vorher
adverbien,nochmal,wieder
adverbien,ganz,ziemlich
adverbien,beispielsweise,zum beispiel
adverbien,zur zeit,zurzeit
adverbien,derzeit,zurzeit
artikel,einige,manche
artikel,ein paar,manche
frage,wozu,warum
frage,wieso,warum
frage,weshalb,warum
frage,weswegen,warum
konnektoren,somit,also
konnektoren,statt,anstatt
konnektoren,ehe,bevor
konnektoren,jedoch,dagegen
konnektoren,demgegenüber,dagegen
konnektoren,allerdings,dagegen
konnektoren,sodass,damit
konnektoren,deswegen,deshalb
konnektoren,daher,deshalb
konnektoren,darum,deshalb
konnektoren,infolgedessen,folglich
konnektoren,demzufolge,folglich
konnektoren,demnach,folglich
konnektoren,entgegen,im gegensatz zu
konnektoren,sooft,immer wenn
konnektoren,obgleich,obwohl
konnektoren,obgleich,obwohl
konnektoren,obschon,obwohl
konnektoren,sofern,solange
konnektoren,andernfalls,sonst
konnektoren,dennoch,trotzdem
konnektoren,gleichwohl,trotzdem
konnektoren,wogegen,wohingegen
konnektoren,dafür,zu diesem Zweck
konnektoren,dazu,zu diesem Zweck
perfekt,worden,geworden
praepositionen_grammatik,zufolge,laut
praepositionen_grammatik,genauso,so
praepositionen_grammatik,ungeachtet,trotz
praepositionen_grammatik,aufgrund,wegen
