Nr,level,question,answer,german,english,case,gender,type
1,1,Ich wohne an _____ Strasse.,der,Ich wohne an der Strasse.,I live on the street.,,,
2,1,Das Bild hängt an _____ Wand.,der,Das Bild hängt an der Wand.,The picture hangs on the wall.,,,
3,1,Ich arbeite an _____ Computer.,dem,Ich arbeite an dem Computer.,I work on the computer.,,,
4,1,Sie steht an _____ Fenster.,dem,Sie steht an dem Fenster.,She stands at the window.,,,
5,1,Das Buch liegt auf _____ Tisch,dem,Das Buch liegt auf dem Tisch,The book lies on the table,,,
6,1,Die Katze sitzt auf _____ Stuhl,dem,Die Katze sitzt auf dem Stuhl,The cat sits on the chair,,,
7,1,Der Vogel sitzt auf _____ Baum,dem,Der Vogel sitzt auf dem Baum,The bird sits on the tree,,,
8,1,Wir fahren auf _____ Insel,die,Wir fahren auf die Insel,We travel onto the island,,,
9,1,Die Kinder spielen auf _____ Spielplatz,dem,Die Kinder spielen auf dem Spielplatz,The children play on the playground,,,
10,1,Das Wasser kommt aus _____ Flasche.,der,Das Wasser kommt aus der Flasche.,The water comes out of the bottle.,,,
11,1,Er geht aus _____ Haus.,dem,Er geht aus dem Haus.,He goes out of the house.,,,
12,1,Ich lerne Deutsch bei _____ Volkshochschule,der,Ich lerne Deutsch bei der Volkshochschule,I learn German at the adult education center,,,
13,1,Ich kaufe Brot für _____ Frühstück.,das,Ich kaufe Brot für das Frühstück.,I'm buying bread for breakfast.,,,
14,1,Er lernt Deutsch für _____ Reise.,die,Er lernt Deutsch für die Reise.,He is learning German for the trip.,,,
15,1,Das ist gut für _____ Gesundheit.,die,Das ist gut für die Gesundheit.,That is good for your health.,,,
16,1,Der Ball fliegt gegen _____ Wand.,die,Der Ball fliegt gegen die Wand.,The ball flies against the wall.,,,
17,1,Der Ball ist hinter _____ Sofa.,dem,Der Ball ist hinter dem Sofa.,The ball is behind the sofa.,,,
18,1,Das Haus ist hinter _____ Baum.,dem,Das Haus ist hinter dem Baum.,The house is behind the tree.,,,
19,1,Ich wohne hinter _____ Bäckerei.,der,Ich wohne hinter der Bäckerei.,I live behind the bakery.,,,
20,1,Schreib deinen Namen hinter _____ Zahl.,die,Schreib deinen Namen hinter die Zahl.,Write your name behind the number.,,,
21,1,Ich bin in _____ Schule.,der,Ich bin in der Schule.,I am in school.,,,
22,1,Das Buch ist in _____ Tasche.,der,Das Buch ist in der Tasche.,The book is in the bag.,,,
23,1,Ich bin in _____ Büro.,dem,Ich bin in dem Büro.,I am in the office.,,,
24,1,Ich fahre mit _____ Bus.,dem,Ich fahre mit dem Bus.,I go by bus.,,,
25,1,Nach _____ Essen spüle ich das Geschirr.,dem,Nach dem Essen spüle ich das Geschirr.,"After the meal, I wash the dishes.",,,
26,1,Der Stuhl steht neben _____ Tisch.,dem,Der Stuhl steht neben dem Tisch.,The chair is next to the table.,,,
27,1,Das Haus ist neben _____ Kirche.,der,Das Haus ist neben der Kirche.,The house is next to the church.,,,
28,1,Neben _____ Bahnhof gibt es ein Café.,dem,Neben dem Bahnhof gibt es ein Café.,Next to the train station there is a café.,,,
29,1,Er stellt die Lampe neben _____ Bett.,das,Er stellt die Lampe neben das Bett.,He puts the lamp next to the bed.,,,
30,1,Sie arbeitet seit Montag in _____ neuen Firma.,der,Sie arbeitet seit Montag in der neuen Firma.,She has been working at the new company since Monday.,,,
31,1,Seit _____ Unfall kann er nicht mehr laufen.,dem,Seit dem Unfall kann er nicht mehr laufen.,"Since the accident, he can no longer walk.",,,
32,1,Die Lampe hängt über _____ Tisch.,dem,Die Lampe hängt über dem Tisch.,The lamp hangs above the table.,,,
33,1,Das Bild hängt über _____ Sofa.,dem,Das Bild hängt über dem Sofa.,The picture hangs above the sofa.,,,
34,1,Wir sprechen über _____ Wetter.,das,Wir sprechen über das Wetter.,We are talking about the weather.,,,
35,1,Der Film ist über _____ Leben eines Künstlers.,das,Der Film ist über das Leben eines Künstlers.,The film is about the life of an artist.,,,
36,1,Der Ball liegt unter _____ Tisch.,dem,Der Ball liegt unter dem Tisch.,The ball is under the table.,,,
37,1,Das Buch ist unter _____ Papieren.,den,Das Buch ist unter den Papieren.,The book is under the papers.,,,
38,1,Die Erde dreht sich um _____ Sonne.,die,Die Erde dreht sich um die Sonne.,The Earth revolves around the sun.,,,
39,1,Wir sitzen um _____ Tisch.,den,Wir sitzen um den Tisch.,We are sitting around the table.,,,
40,1,Der Baum steht vor _____ Haus.,dem,Der Baum steht vor dem Haus.,The tree stands in front of the house.,,,
41,1,Ich warte vor _____ Tür.,der,Ich warte vor der Tür.,I am waiting in front of the door.,,,
42,1,Sie schützt sich vor _____ Sonne.,der,Sie schützt sich vor der Sonne.,She protects herself from the sun.,,,
43,1,Ich gehe zu _____ Bahnhof.,dem,Ich gehe zu dem Bahnhof.,I am going to the train station.,,,
44,1,Wir fahren zu _____ Strand.,dem,Wir fahren zu dem Strand.,We are driving to the beach.,,,
45,1,Ich gratuliere dir zu _____ Geburtstag.,dem,Ich gratuliere dir zu dem Geburtstag.,I congratulate you on your birthday.,,,
46,1,Der Tisch steht zwischen _____ Stühlen.,den,Der Tisch steht zwischen den Stühlen.,The table is between the chairs.,,,
47,1,Das Museum ist zwischen _____ Bank und der Post.,der,Das Museum ist zwischen der Bank und der Post.,The museum is between the bank and the post office.,,,
48,1,Zwischen 10 und 12 Uhr bin ich in _____ Büro.,dem,Zwischen 10 und 12 Uhr bin ich in dem Büro.,Between 10 and 12 o'clock I am in the office.,,,
49,1,Wir gehen auf _____ Strasse,die,Wir gehen auf die Strasse,We go onto the street,,,
50,1,An _____ Abend esse ich Brot.,dem,An dem Abend esse ich Brot.,On the evening I eat bread.,,,
51,1,Die Lampe ist an _____ Decke.,der,Die Lampe ist an der Decke.,The lamp is on the ceiling.,,,
52,1,Wir fahren an _____ See.,den,Wir fahren an den See.,We drive to the lake.,,,
53,1,Das Haus ist an _____ Fluss.,dem,Das Haus ist an dem Fluss.,The house is on the river.,,,
54,1,Sie schreibt auf _____ Papier,dem,Sie schreibt auf dem Papier,She writes on the paper,,,
55,1,Ich gehe auf _____ Party,die,Ich gehe auf die Party,I go to the party,,,
56,1,Die Musik kommt aus _____ Radio.,dem,Die Musik kommt aus dem Radio.,The music comes from the radio.,,,
57,1,Das Licht kommt aus _____ Fenster.,dem,Das Licht kommt aus dem Fenster.,The light comes from the window.,,,
58,1,Ich nehme das Buch aus _____ Regal.,dem,Ich nehme das Buch aus dem Regal.,I take the book from the shelf.,,,
59,1,Sie steigt aus _____ Bus.,dem,Sie steigt aus dem Bus.,She gets out of the bus.,,,
60,1,Die Geschichte ist aus _____ Buch.,dem,Die Geschichte ist aus dem Buch.,The story is from the book.,,,
61,1,Das Problem liegt bei _____ Technik.,der,Das Problem liegt bei der Technik.,The problem is with the technology.,,,
62,1,Es ist nur ein kurzer Weg bis zu _____ Park.,dem,Es ist nur ein kurzer Weg bis zu dem Park.,It's only a short way to the park.,,,
63,1,Er hat gegen _____ Regeln verstossen.,die,Er hat gegen die Regeln verstossen.,He acted against the rules.,,,
64,1,Stell die Leiter gegen _____ Wand.,die,Stell die Leiter gegen die Wand.,Put the ladder against the wall.,,,
65,1,Wir kämpfen gegen _____ Ungerechtigkeit.,die,Wir kämpfen gegen die Ungerechtigkeit.,We fight against injustice.,,,
66,1,Hinter _____ Haus ist ein Garten.,dem,Hinter dem Haus ist ein Garten.,Behind the house is a garden.,,,
67,1,Sie versteckt sich hinter _____ Tür.,der,Sie versteckt sich hinter der Tür.,She is hiding behind the door.,,,
68,1,Das Bild hängt in _____ Wohnzimmer.,dem,Das Bild hängt in dem Wohnzimmer.,The picture hangs in the living room.,,,
69,1,Es ist kalt in _____ Winter.,dem,Es ist kalt in dem Winter.,It is cold in winter.,,,
70,1,Der Fisch schwimmt in _____ Wasser.,dem,Der Fisch schwimmt in dem Wasser.,The fish swims in the water.,,,
71,1,Wir sprechen mit _____ Lehrer.,dem,Wir sprechen mit dem Lehrer.,We speak with the teacher.,,,
72,1,Mit _____ Auto dauert es länger.,dem,Mit dem Auto dauert es länger.,By car it takes longer.,,,
73,1,Ich gehe mit dir in _____ Kino.,das,Ich gehe mit dir in das Kino.,I go to the cinema with you.,,,
74,1,Sie kommt mit _____ Zug an.,dem,Sie kommt mit dem Zug an.,She arrives by train.,,,
75,1,Neben _____ Kosten gibt es auch Vorteile.,den,Neben den Kosten gibt es auch Vorteile.,"Besides the costs, there are also advantages.",,,
76,1,Seit _____ frühen Morgen regnet es.,dem,Seit dem frühen Morgen regnet es.,It has been raining since early morning.,,,
77,1,Er springt über _____ Graben.,den,Er springt über den Graben.,He jumps over the ditch.,,,
78,1,Die Wolken ziehen über _____ Himmel.,den,Die Wolken ziehen über den Himmel.,The clouds are moving across the sky.,,,
79,1,Schreib deinen Namen unter _____ Text.,den,Schreib deinen Namen unter den Text.,Write your name under the text.,,,
80,1,Die Katze versteckt sich unter _____ Bett.,dem,Die Katze versteckt sich unter dem Bett.,The cat is hiding under the bed.,,,
81,1,Er läuft um _____ Block.,den,Er läuft um den Block.,He runs around the block.,,,
82,1,Er ist krank von _____ Reise.,der,Er ist krank von der Reise.,He is sick from the trip.,,,
83,1,Das ist ein Lied von _____ Beatles.,den,Das ist ein Lied von den Beatles.,That is a song by the Beatles.,,,
84,1,Ich bin müde von _____ Arbeit.,der,Ich bin müde von der Arbeit.,I am tired from work.,,,
85,1,Vor _____ Essen waschen wir die Hände.,dem,Vor dem Essen waschen wir die Hände.,"Before eating, we wash our hands.",,,
86,1,Ich habe keine Zeit zu _____ Lesen.,dem,Ich habe keine Zeit zu dem Lesen.,I have no time to read.,,,
87,1,Leg das Buch zwischen _____ anderen Bücher.,die,Leg das Buch zwischen die anderen Bücher.,Put the book between the other books.,,,
88,1,Zwischen _____ Jahren feiert man Silvester.,den,Zwischen den Jahren feiert man Silvester.,"Between the years, one celebrates New Year's Eve.",,,
89,2,"a lot, much",viel,,,,,mengen
90,2,many,viele,,,,,mengen
91,2,"few, little",wenig,,,,,mengen
92,2,few,wenige,,,,,mengen
93,2,"some, several, a few",manche,,,,,indefinit
94,2,"this, these",diese,,,,,demonstrative
95,2,"every, each",jede,,,,,indefinit
96,2,"none, no",keine,,,,,indefinit
97,2,more,mehr,,,,,mengen
98,2,others,andere,,,,,
99,2,both,beide,,,,,mengen
100,3,Ich möchte _____ Zeit zum Lernen haben.,mehr,Ich möchte mehr Zeit zum Lernen haben.,I would like to have more time to study.,,,
101,3,Kannst du mir _____ Informationen geben?,mehr,Kannst du mir mehr Informationen geben?,Can you give me more information?,,,
102,3,Er verbringt _____ Zeit als zuvor.,mehr,Er verbringt mehr Zeit als zuvor.,He spends more time than before.,,,
103,3,Ich brauche _____ Geduld mit diesem Projekt.,mehr,Ich brauche mehr Geduld mit diesem Projekt.,I need more patience with this project.,,,
104,3,Es gibt immer _____ Autos auf den Straßen.,mehr,Es gibt immer mehr Autos auf den Straßen.,There are more and more cars on the streets.,,,
105,3,_____ Frau ist meine Lehrerin.,Diese,Diese Frau ist meine Lehrerin.,This woman is my teacher.,,,
106,3,Ich kaufe _____ Apfel.,diesen,Ich kaufe diesen Apfel.,I am buying this apple.,,,
107,3,Mit _____ Buch lerne ich Deutsch.,diesem,Mit diesem Buch lerne ich Deutsch.,"With this book, I am learning German.",,,
108,3,Ich mag _____ Hunde.,diese,Ich mag diese Hunde.,I like these dogs.,,,
109,3,Der Geschmack _____ Weines ist sehr gut.,dieses,Der Geschmack dieses Weines ist sehr gut.,The taste of this wine is very good.,,,
110,3,Ich habe _____ Zeit für ein Gespräch.,keine,Ich habe keine Zeit für ein Gespräch.,I have no time for a conversation.,,,
111,3,_____ Mensch ist perfekt.,Kein,Kein Mensch ist perfekt.,No person is perfect.,,,
112,3,"Wir haben _____ Lust, heute auszugehen.",keine,"Wir haben keine Lust, heute auszugehen.",We have no desire to go out today.,,,
113,3,Er hat _____ Ahnung von Mathematik.,keine,Er hat keine Ahnung von Mathematik.,He has no idea about mathematics.,,,
114,3,Ich spreche mit _____ meiner Kollegen.,keinem,Ich spreche mit keinem meiner Kollegen.,I speak with none of my colleagues.,,,
115,3,"Er hat _____ Geld, aber er gibt wenig aus.",viel,"Er hat viel Geld, aber er gibt wenig aus.","He has a lot of money, but he spends little.",,,
116,3,"Ich trinke _____ Wasser, weil es gesund ist.",viel,"Ich trinke viel Wasser, weil es gesund ist.",I drink a lot of water because it is healthy.,,,
117,3,Es gibt _____ Verkehr in der Stadt am Morgen.,viel,Es gibt viel Verkehr in der Stadt am Morgen.,There is a lot of traffic in the city in the morning.,,,
118,3,Sie lernt _____ für die Prüfung nächste Woche.,viel,Sie lernt viel für die Prüfung nächste Woche.,She studies a lot for the exam next week.,,,
119,3,Wir haben _____ Spaß im Urlaub gehabt.,viel,Wir haben viel Spaß im Urlaub gehabt.,We had a lot of fun on vacation.,,,
120,3,"Manche Leute mögen Pizza, _____ bevorzugen Pasta.",andere,"Manche Leute mögen Pizza, andere bevorzugen Pasta.","Some people like pizza, others prefer pasta.",,,
121,3,"Einige arbeiten gerne im Büro, _____ lieber von zu Hause aus.",andere,"Einige arbeiten gerne im Büro, andere lieber von zu Hause aus.","Some like working in the office, others prefer working from home.",,,
122,3,"Manche Tiere sind tagaktiv, _____ sind nachtaktiv.",andere,"Manche Tiere sind tagaktiv, andere sind nachtaktiv.","Some animals are active during the day, others are active at night.",,,
123,3,"Einige Schüler lernen schnell, _____ brauchen mehr Zeit.",andere,"Einige Schüler lernen schnell, andere brauchen mehr Zeit.","Some students learn quickly, others need more time.",,,
124,3,"Einige mögen klassische Musik, _____ hören lieber Pop.",andere,"Einige mögen klassische Musik, andere hören lieber Pop.","Some like classical music, others prefer listening to pop.",,,
125,3,_____ Eltern arbeiten in einem Krankenhaus.,Beide,Beide Eltern arbeiten in einem Krankenhaus.,Both parents work in a hospital.,,,
126,3,Ich habe _____ Bücher gelesen.,beide,Ich habe beide Bücher gelesen.,I have read both books.,,,
127,3,Er hat mit _____ Freunden gesprochen.,beiden,Er hat mit beiden Freunden gesprochen.,He talked to both friends.,,,
128,3,_____ Städte sind sehr schön.,Beide,Beide Städte sind sehr schön.,Both cities are very beautiful.,,,
129,3,Der Preis _____ Autos ist sehr hoch.,beider,Der Preis beider Autos ist sehr hoch.,The price of both cars is very high.,,,
130,3,_____ Leute fahren im Sommer ans Meer.,Viele,Viele Leute fahren im Sommer ans Meer.,Many people go to the sea in summer.,,,
131,3,Ich habe _____ Bücher in meinem Regal.,viele,Ich habe viele Bücher in meinem Regal.,I have many books on my shelf.,,,
132,3,Er kennt _____ interessante Geschichten.,viele,Er kennt viele interessante Geschichten.,He knows many interesting stories.,,,
133,3,_____ Kinder spielen gerne im Park.,Viele,Viele Kinder spielen gerne im Park.,Many children like to play in the park.,,,
134,3,In dieser Stadt gibt es _____ Museen.,viele,In dieser Stadt gibt es viele Museen.,There are many museums in this city.,,,
135,3,_____ Menschen verstehen diese Sprache.,Wenige,Wenige Menschen verstehen diese Sprache.,Few people understand this language.,,,
136,3,Nur _____ Schüler haben die Prüfung bestanden.,wenige,Nur wenige Schüler haben die Prüfung bestanden.,Only a few students passed the exam.,,,
137,3,Es gibt nur _____ Plätze im Bus.,wenige,Es gibt nur wenige Plätze im Bus.,There are only a few seats on the bus.,,,
138,3,"_____ wissen, wie schwierig es war.",Wenige,"Wenige wissen, wie schwierig es war.",Few know how difficult it was.,,,
139,3,In diesem Dorf gibt es nur _____ Geschäfte.,wenige,In diesem Dorf gibt es nur wenige Geschäfte.,There are only a few shops in this village.,,,
140,3,_____ Stadt hat ihre eigene Geschichte.,Jede,Jede Stadt hat ihre eigene Geschichte.,Every city has its own history.,,,
141,3,Ich lese _____ Tag ein Buch.,jeden,Ich lese jeden Tag ein Buch.,I read a book every day.,,,
142,3,Mit _____ neuen Tag lernen wir etwas.,jedem,Mit jedem neuen Tag lernen wir etwas.,"With each new day, we learn something.",,,
143,3,_____ dieser Blumen ist wunderschön.,Jede,Jede dieser Blumen ist wunderschön.,Each of these flowers is beautiful.,,,
144,3,Der Preis _____ Produkts ist unterschiedlich.,jedes,Der Preis jedes Produkts ist unterschiedlich.,The price of each product is different.,,,
145,3,_____ Leute mögen keinen Kaffee.,Manche,Manche Leute mögen keinen Kaffee.,Some people don't like coffee.,,,
146,3,Ich kenne _____ dieser Geschichten.,manche,Ich kenne manche dieser Geschichten.,I know some of these stories.,,,
147,3,Mit _____ Problem muss man alleine klarkommen.,manchem,Mit manchem Problem muss man alleine klarkommen.,"With some problems, you have to cope alone.",,,
148,3,_____ Tage sind schwieriger als andere.,Manche,Manche Tage sind schwieriger als andere.,Some days are harder than others.,,,
149,3,Der Wert _____ Dinge steigt mit der Zeit.,mancher,Der Wert mancher Dinge steigt mit der Zeit.,The value of some things increases over time.,,,
150,3,Ich habe heute _____ Zeit.,wenig,Ich habe heute wenig Zeit.,I have little time today.,,,
151,3,Er isst nur _____ Fleisch.,wenig,Er isst nur wenig Fleisch.,He eats only a little meat.,,,
152,3,Es gibt _____ Schnee in diesem Winter.,wenig,Es gibt wenig Schnee in diesem Winter.,There is little snow this winter.,,,
153,3,"Sie spricht _____ Deutsch, aber sie lernt.",wenig,"Sie spricht wenig Deutsch, aber sie lernt.","She speaks little German, but she is learning.",,,
154,3,"Ich habe _____ Lust, heute Abend auszugehen.",wenig,"Ich habe wenig Lust, heute Abend auszugehen.",I have little desire to go out tonight.,,,
155,4,"that, those",jene,,,,,demonstrative
156,4,"individual, single",einzelne,,,,,mengen
157,4,any,irgendein,,,,,
158,4,"several, multiple",mehrere,,,,,mengen
159,4,quite a few,etliche,,,,,mengen
160,4,"different, various",verschiedene,,,,,mengen
161,4,numerous,zahlreiche,,,,,mengen
162,4,such,solch,,,,,demonstrative
163,4,those,diejenigen,,,,,relative & emphatic
164,4,the same,dieselbe,,,,,relative & emphatic
165,4,"following, subsequent",folgend,,,,,relative & emphatic
166,4,"all kinds of, all sort of",allerlei,,,,,relative & emphatic
167,4,"all, every single",sämtliche,,,,,relative & emphatic
168,5,_____ Menschen haben sich über die neuen Regeln beschwert.,Etliche,Etliche Menschen haben sich über die neuen Regeln beschwert.,Quite a few people have complained about the new rules.,,,
169,5,Ich habe _____ Stunden mit diesem Problem verbracht.,etliche,Ich habe etliche Stunden mit diesem Problem verbracht.,I have spent several hours on this problem.,,,
170,5,Mit _____ Kollegen habe ich über das Projekt diskutiert.,etlichen,Mit etlichen Kollegen habe ich über das Projekt diskutiert.,I have discussed the project with several colleagues.,,,
171,5,Die Qualität _____ Produkte hat sich verbessert.,etlicher,Die Qualität etlicher Produkte hat sich verbessert.,The quality of several products has improved.,,,
172,5,Er hat _____ Bücher über Geschichte gelesen.,etliche,Er hat etliche Bücher über Geschichte gelesen.,He has read several books about history.,,,
173,5,_____ Dokumente müssen bis morgen eingereicht werden.,Sämtliche,Sämtliche Dokumente müssen bis morgen eingereicht werden.,All documents must be submitted by tomorrow.,,,
174,5,"Ich habe _____ Berichte gelesen, bevor ich meine Entscheidung getroffen habe.",sämtliche,"Ich habe sämtliche Berichte gelesen, bevor ich meine Entscheidung getroffen habe.",I read all reports before making my decision.,,,
175,5,Mit _____ Kollegen wurde über die neuen Regeln gesprochen.,sämtlichen,Mit sämtlichen Kollegen wurde über die neuen Regeln gesprochen.,All colleagues were informed about the new rules.,,,
