Nr,level,question,answer,german,english
1,1,here,hier,,
2,1,always,immer,,
3,1,now,jetzt,,
4,1,very,sehr,,
5,1,soon,bald,,
6,1,almost,fast,,
7,1,yesterday,gestern,,
8,1,today,heute,,
9,1,tomorrow,morgen,,
10,1,sometimes,manchmal,,
11,1,never,nie,,
12,1,"often, frequently",oft,,
13,1,rarely,selten,,
14,2,Ich bin _____.,hier,Ich bin hier.,I am here.
15,2,_____ ist es sehr ruhig.,Hier,Hier ist es sehr ruhig.,It is very quiet here.
16,2,Wir treffen uns _____.,hier,Wir treffen uns hier.,We are meeting here.
17,2,_____ gibt es ein gutes Restaurant.,Hier,Hier gibt es ein gutes Restaurant.,There is a good restaurant here.
18,2,Mein Auto steht _____.,hier,Mein Auto steht hier.,My car is parked here.
19,2,Ich bin _____ fertig.,fast,Ich bin fast fertig.,I am almost done.
20,2,Der Film ist _____ zu Ende.,fast,Der Film ist fast zu Ende.,The movie is almost over.
21,2,Es ist _____ Mitternacht.,fast,Es ist fast Mitternacht.,It is almost midnight.
22,2,Ich habe _____ alles verstanden.,fast,Ich habe fast alles verstanden.,I understood almost everything.
23,2,Wir sind _____ da.,fast,Wir sind fast da.,We are almost there.
24,2,Ich bin _____ müde.,sehr,Ich bin sehr müde.,I am very tired.
25,2,Das Essen schmeckt _____ gut.,sehr,Das Essen schmeckt sehr gut.,The food tastes very good.
26,2,Er spricht _____ langsam.,sehr,Er spricht sehr langsam.,He speaks very slowly.
27,2,Wir sind _____ glücklich.,sehr,Wir sind sehr glücklich.,We are very happy.
28,2,Das Wetter ist heute _____ schön.,sehr,Das Wetter ist heute sehr schön.,The weather is very nice today.
29,2,Ich gehe _____ spazieren.,oft,Ich gehe oft spazieren.,I go for a walk often.
30,2,Er reist _____ nach Deutschland.,oft,Er reist oft nach Deutschland.,He often travels to Germany.
31,2,Wir sehen uns _____.,oft,Wir sehen uns oft.,We see each other often.
32,2,Sie geht _____ ins Kino.,oft,Sie geht oft ins Kino.,She often goes to the cinema.
33,2,Ich mache das _____ mit meinen Freunden.,oft,Ich mache das oft mit meinen Freunden.,I often do that with my friends.
34,2,Ich bin _____ müde.,jetzt,Ich bin jetzt müde.,I am tired now.
35,2,Wir gehen _____ nach Hause.,jetzt,Wir gehen jetzt nach Hause.,We are going home now.
36,2,Er arbeitet _____ im Büro.,jetzt,Er arbeitet jetzt im Büro.,He is working in the office now.
37,2,_____ ist es sehr kalt draussen.,Jetzt,Jetzt ist es sehr kalt draussen.,It is very cold outside now.
38,2,Ich rufe dich _____ an.,jetzt,Ich rufe dich jetzt an.,I am calling you now.
39,2,_____ habe ich einen Termin beim Arzt.,Morgen,Morgen habe ich einen Termin beim Arzt.,Tomorrow I have an appointment with the doctor.
40,2,Wir fahren _____ nach Berlin.,morgen,Wir fahren morgen nach Berlin.,We are going to Berlin tomorrow.
41,2,_____ beginnt die Schule wieder.,Morgen,Morgen beginnt die Schule wieder.,School starts again tomorrow.
42,2,Ich rufe dich _____ an.,morgen,Ich rufe dich morgen an.,I will call you tomorrow.
43,2,Das Wetter soll _____ schön sein.,morgen,Das Wetter soll morgen schön sein.,The weather is supposed to be nice tomorrow.
44,2,_____ war das Wetter schön.,Gestern,Gestern war das Wetter schön.,Yesterday the weather was nice.
45,2,Ich habe _____ einen Film gesehen.,gestern,Ich habe gestern einen Film gesehen.,I watched a movie yesterday.
46,2,Wir waren _____ im Park.,gestern,Wir waren gestern im Park.,We were in the park yesterday.
47,2,Er hat mich _____ angerufen.,gestern,Er hat mich gestern angerufen.,He called me yesterday.
48,2,_____ hatte ich viel zu tun.,Gestern,Gestern hatte ich viel zu tun.,Yesterday I had a lot to do.
49,2,Ich war noch _____ in Frankreich.,nie,Ich war noch nie in Frankreich.,I have never been to France.
50,2,Er isst _____ Fleisch.,nie,Er isst nie Fleisch.,He never eats meat.
51,2,Wir kommen _____ zu spät.,nie,Wir kommen nie zu spät.,We are never late.
52,2,Sie lügt _____.,nie,Sie lügt nie.,She never lies.
53,2,Ich habe das noch _____ gemacht.,nie,Ich habe das noch nie gemacht.,I have never done that before.
54,2,Ich gehe _____ ins Kino.,manchmal,Ich gehe manchmal ins Kino.,I sometimes go to the cinema.
55,2,_____ regnet es im Sommer.,Manchmal,Manchmal regnet es im Sommer.,Sometimes it rains in summer.
56,2,Er ist _____ sehr lustig.,manchmal,Er ist manchmal sehr lustig.,He is sometimes very funny.
57,2,Wir besuchen _____ unsere Grosseltern.,manchmal,Wir besuchen manchmal unsere Grosseltern.,We sometimes visit our grandparents.
58,2,_____ brauche ich eine Pause.,Manchmal,Manchmal brauche ich eine Pause.,Sometimes I need a break.
59,2,_____ ist ein schöner Tag.,Heute,Heute ist ein schöner Tag.,Today is a beautiful day.
60,2,Ich gehe _____ einkaufen.,heute,Ich gehe heute einkaufen.,I am going shopping today.
61,2,Wir haben _____ keine Schule.,heute,Wir haben heute keine Schule.,We have no school today.
62,2,_____ Abend schauen wir einen Film.,Heute,Heute Abend schauen wir einen Film.,Tonight we are watching a movie.
63,2,Ich besuche meine Oma _____.,heute,Ich besuche meine Oma heute.,I am visiting my grandma today.
64,2,Ich bin _____ pünktlich.,immer,Ich bin immer pünktlich.,I am always on time.
65,2,Er ist _____ freundlich.,immer,Er ist immer freundlich.,He is always friendly.
66,2,Wir essen _____ zusammen.,immer,Wir essen immer zusammen.,We always eat together.
67,2,Das Wetter ist hier _____ schön.,immer,Das Wetter ist hier immer schön.,The weather is always nice here.
68,2,Ich trinke _____ Kaffee am Morgen.,immer,Ich trinke immer Kaffee am Morgen.,I always drink coffee in the morning.
69,2,Ich komme _____ zurück.,bald,Ich komme bald zurück.,I will be back soon.
70,2,Wir sehen uns _____ wieder.,bald,Wir sehen uns bald wieder.,We will see each other again soon.
71,2,Er wird _____ Vater.,bald,Er wird bald Vater.,He will be a father soon.
72,2,_____ beginnt der Sommer.,Bald,Bald beginnt der Sommer.,Summer will start soon.
73,2,Das Essen ist _____ fertig.,bald,Das Essen ist bald fertig.,The food will be ready soon.
74,2,Ich gehe _____ ins Kino.,selten,Ich gehe selten ins Kino.,I rarely go to the cinema.
75,2,Er isst _____ Süßigkeiten.,selten,Er isst selten Süßigkeiten.,He rarely eats sweets.
76,2,Wir haben _____ Schnee im Winter.,selten,Wir haben selten Schnee im Winter.,We rarely have snow in winter.
77,2,Sie trägt _____ hohe Schuhe.,selten,Sie trägt selten hohe Schuhe.,She rarely wears high heels.
78,2,Mein Bruder ruft mich _____ an.,selten,Mein Bruder ruft mich selten an.,My brother rarely calls me.
79,3,right now,gerade,,
80,3,straight ahead,geradeaus,,
81,3,left,links,,
82,3,right,rechts,,
83,3,not,nicht,,
84,3,"also, too",auch,,
85,3,too,zu,,
86,3,there,dort,,
87,3,"only, merely",nur,,
88,3,right away,gleich,,
89,3,already,schon,,
90,3,maybe,vielleicht,,
91,4,Ich war letztes Jahr _____ im Urlaub.,dort,Ich war letztes Jahr dort im Urlaub.,I was there on vacation last year.
92,4,_____ gibt es ein schönes Café.,Dort,Dort gibt es ein schönes Café.,There is a nice café there.
93,4,Meine Freunde wohnen _____.,dort,Meine Freunde wohnen dort.,My friends live there.
