Nr,level,question,answer,english,german
1,1,from ... on,ab,,
2,1,"than, as",als,,
3,1,"to, on",an,,
4,1,"on, upon",auf,,
5,1,"from, out of, off",aus,,
6,1,"at, near, by, in the vicinity of",bei,,
7,1,"until, up to, by, to",bis,,
8,1,for,für,,
9,1,"against, for, toward",gegen,,
10,1,behind,hinter,,
11,1,"in, into",in,,
12,1,with,mit,,
13,1,"after, to",nach,,
14,1,"next to, in addition to, besides",neben,,
15,1,without,ohne,,
16,1,"since, for",seit,,
17,1,as,so,,
18,1,"above, over, about",über,,
19,1,"at, around",um,,
20,1,"under, among, below",unter,,
21,1,"from, of",von,,
22,1,"before, in front of, against",vor,,
23,1,"as, like",wie,,
24,1,"to, toward, too",zu,,
25,1,between,zwischen,,
26,2,_____ morgen beginnt mein Urlaub.,Ab,Ab morgen beginnt mein Urlaub.,"From tomorrow on, my vacation begins."
27,2,Das Konzert startet _____ 19 Uhr.,ab,Das Konzert startet ab 19 Uhr.,The concert starts from 7 PM.
28,2,_____ nächster Woche habe ich einen neuen Job.,Ab,Ab nächster Woche habe ich einen neuen Job.,"From next week on, I have a new job."
29,2,_____ Januar wird das Wetter kälter.,Ab,Ab Januar wird das Wetter kälter.,"From January on, the weather will get colder."
30,2,Der Bus fährt _____ 8 Uhr jede Stunde.,ab,Der Bus fährt ab 8 Uhr jede Stunde.,The bus leaves every hour from 8 AM.
31,2,Ich bin _____ einer Stunde angekommen.,vor,I arrived an hour ago.,Ich bin vor einer Stunde angekommen.
32,2,_____ dem Essen wasche ich meine Hände.,Vor,"Before eating, I wash my hands.",Vor dem Essen wasche ich meine Hände.
33,2,Wir haben uns _____ zwei Tagen getroffen.,vor,We met two days ago.,Wir haben uns vor zwei Tagen getroffen.
34,2,_____ dem Schlafen lese ich ein Buch.,Vor,"Before sleeping, I read a book.",Vor dem Schlafen lese ich ein Buch.
35,2,_____ einem Jahr bin ich nach Deutschland gezogen.,Vor,"A year ago, I moved to Germany.",Vor einem Jahr bin ich nach Deutschland gezogen.
36,2,Der Kurs geht _____ 9 bis 12 Uhr.,von,The course runs from 9 to 12 o’clock.,Der Kurs geht von 9 bis 12 Uhr.
37,2,Ich arbeite _____ Montag bis Freitag.,von,I work from Monday to Friday.,Ich arbeite von Montag bis Freitag.
38,2,_____ April bis Juni ist das Wetter meistens schön.,Von,"From April to June, the weather is usually nice.",Von April bis Juni ist das Wetter meistens schön.
39,2,Der Film läuft _____ 18 bis 20 Uhr.,von,The movie runs from 6 to 8 PM.,Der Film läuft von 18 bis 20 Uhr.
40,2,Ich habe _____ 2015 bis 2020 in Berlin gelebt.,von,I lived in Berlin from 2015 to 2020.,Ich habe von 2015 bis 2020 in Berlin gelebt.
41,2,Der Bus kommt _____ 8 Uhr.,um,The bus arrives at 8 o’clock.,Der Bus kommt um 8 Uhr.
42,2,Ich stehe _____ 7 Uhr auf.,um,I get up at 7 o’clock.,Ich stehe um 7 Uhr auf.
43,2,Der Film beginnt _____ 20:15 Uhr.,um,The movie starts at 8:15 PM.,Der Film beginnt um 20:15 Uhr.
44,2,Wir treffen uns _____ 14 Uhr im Park.,um,We are meeting at 2 PM in the park.,Wir treffen uns um 14 Uhr im Park.
45,2,Die Schule endet _____ 16 Uhr.,um,School ends at 4 PM.,Die Schule endet um 16 Uhr.
46,2,_____ 8 und 9 Uhr frühstücke ich.,Zwischen,"Between 8 and 9 o’clock, I have breakfast.",Zwischen 8 und 9 Uhr frühstücke ich.
47,2,Der Zug kommt _____ 14 und 15 Uhr an.,zwischen,The train arrives between 2 and 3 PM.,Der Zug kommt zwischen 14 und 15 Uhr an.
48,2,_____ Montag und Freitag arbeite ich viel.,Zwischen,"Between Monday and Friday, I work a lot.",Zwischen Montag und Freitag arbeite ich viel.
49,2,Die Pause ist _____ den zwei Unterrichtsstunden.,zwischen,The break is between the two lessons.,Die Pause ist zwischen den zwei Unterrichtsstunden.
50,2,_____ Weihnachten und Neujahr habe ich Urlaub.,Zwischen,"Between Christmas and New Year, I have vacation.",Zwischen Weihnachten und Neujahr habe ich Urlaub.
51,2,_____ dem Frühstück gehe ich zur Arbeit.,Nach,"After breakfast, I go to work.",Nach dem Frühstück gehe ich zur Arbeit.
52,2,Wir fahren _____ der Schule nach Hause.,nach,We go home after school.,Wir fahren nach der Schule nach Hause.
53,2,_____ dem Konzert sind wir noch essen gegangen.,Nach,"After the concert, we went out to eat.",Nach dem Konzert sind wir noch essen gegangen.
54,2,_____ einer Woche fühlte ich mich besser.,Nach,"After a week, I felt better.",Nach einer Woche fühlte ich mich besser.
55,2,_____ dem Sport dusche ich immer.,Nach,"After sports, I always take a shower.",Nach dem Sport dusche ich immer.
56,2,Ich habe _____ Montag Deutschunterricht.,am,I have German class on Monday.,Ich habe am Montag Deutschunterricht.
57,2,Wir fahren _____ Wochenende nach Berlin.,am,We are going to Berlin on the weekend.,Wir fahren am Wochenende nach Berlin.
58,2,Mein Geburtstag ist _____ 3. Mai.,am,My birthday is on May 3rd.,Mein Geburtstag ist am 3. Mai.
59,2,_____ Abend lese ich gern ein Buch.,Am,"In the evening, I like to read a book.",Am Abend lese ich gern ein Buch.
60,2,_____ Morgen trinke ich immer Kaffee.,Am,"In the morning, I always drink coffee.",Am Morgen trinke ich immer Kaffee.
61,2,Ich fahre _____ einer Woche nach Spanien.,in,I am going to Spain in a week.,Ich fahre in einer Woche nach Spanien.
62,2,Wir sehen uns _____ zwei Tagen wieder.,in,We will see each other again in two days.,Wir sehen uns in zwei Tagen wieder.
63,2,_____ der Nacht ist es sehr ruhig.,In,"At night, it is very quiet.",In der Nacht ist es sehr ruhig.
64,2,Mein Urlaub beginnt _____ drei Monaten.,in,My vacation starts in three months.,Mein Urlaub beginnt in drei Monaten.
65,2,_____ einer Stunde beginnt der Unterricht.,In,The class starts in an hour.,In einer Stunde beginnt der Unterricht.
66,2,Ich arbeite _____ 18 Uhr.,bis,I work until 6 PM.,Ich arbeite bis 18 Uhr.
67,2,Das Museum ist _____ 20 Uhr geöffnet.,bis,The museum is open until 8 PM.,Das Museum ist bis 20 Uhr geöffnet.
68,2,_____ nächste Woche muss ich meine Hausaufgaben machen.,Bis,I have to do my homework by next week.,Bis nächste Woche muss ich meine Hausaufgaben machen.
69,2,Wir bleiben _____ Sonntag in Hamburg.,bis,We are staying in Hamburg until Sunday.,Wir bleiben bis Sonntag in Hamburg.
70,2,_____ zum Sommer möchte ich Deutsch lernen.,Bis,I want to learn German by the summer.,Bis zum Sommer möchte ich Deutsch lernen.
71,2,Ich wohne _____ 2018 in Berlin.,seit,I have been living in Berlin since 2018.,Ich wohne seit 2018 in Berlin.
72,2,_____ einer Woche regnet es jeden Tag.,Seit,It has been raining every day for a week.,Seit einer Woche regnet es jeden Tag.
73,2,Sie lernt _____ drei Monaten Deutsch.,seit,She has been learning German for three months.,Sie lernt seit drei Monaten Deutsch.
74,2,_____ dem Wochenende fühle ich mich besser.,Seit,I have been feeling better since the weekend.,Seit dem Wochenende fühle ich mich besser.
75,2,_____ gestern habe ich Kopfschmerzen.,Seit,I have had a headache since yesterday.,Seit gestern habe ich Kopfschmerzen.
76,3,Das Bild hängt _____ der Wand.,an,The picture is hanging on the wall.,Das Bild hängt an der Wand.
77,3,Ich stehe _____ der Haltestelle.,an,I am standing at the bus stop.,Ich stehe an der Haltestelle.
78,3,Wir sitzen _____ dem Tisch.,an,We are sitting at the table.,Wir sitzen an dem Tisch.
79,3,Die Uhr hängt _____ der Wand.,an,The clock is hanging on the wall.,Die Uhr hängt an der Wand.
80,3,Der Spiegel ist _____ der Tür.,an,The mirror is on the door.,Der Spiegel ist an der Tür.
81,3,Ich bin _____ meinem Freund.,bei,I am at my friend’s place.,Ich bin bei meinem Freund.
82,3,Sie arbeitet _____ einer großen Firma.,bei,She works at a big company.,Sie arbeitet bei einer großen Firma.
83,3,Wir sind _____ unseren Großeltern.,bei,We are at our grandparents' place.,Wir sind bei unseren Großeltern.
84,3,Er bleibt heute _____ mir zu Hause.,bei,He is staying at my place today.,Er bleibt heute bei mir zu Hause.
85,3,Ich kaufe mein Brot _____ der Bäckerei.,bei,I buy my bread at the bakery.,Ich kaufe mein Brot bei der Bäckerei.
86,3,Der Tisch steht _____ dem Sofa und dem Stuhl.,zwischen,The table is between the sofa and the chair.,Der Tisch steht zwischen dem Sofa und dem Stuhl.
87,3,Die Lampe hängt _____ den Regalen.,zwischen,The lamp is hanging between the shelves.,Die Lampe hängt zwischen den Regalen.
88,3,Mein Auto ist _____ zwei anderen Autos geparkt.,zwischen,My car is parked between two other cars.,Mein Auto ist zwischen zwei anderen Autos geparkt.
89,3,Das Café liegt _____ dem Supermarkt und der Bank.,zwischen,The café is between the supermarket and the bank.,Das Café liegt zwischen dem Supermarkt und der Bank.
90,3,Das Buch ist _____ den Heften auf dem Tisch.,zwischen,The book is between the notebooks on the table.,Das Buch ist zwischen den Heften auf dem Tisch.
91,3,Der Garten ist _____ dem Haus.,hinter,The garden is behind the house.,Der Garten ist hinter dem Haus.
92,3,Die Katze versteckt sich _____ der Tür.,hinter,The cat is hiding behind the door.,Die Katze versteckt sich hinter der Tür.
93,3,Mein Auto steht _____ der Garage.,hinter,My car is behind the garage.,Mein Auto steht hinter der Garage.
