german,english
"Allein ist besser als mit Schlechten im Verein: mit Guten im Verein, ist besser als allein.",Better to be alone than in bad company: good company is better than being alone.
Aller guten Dinge sind drei.,All good things come in threes.
Alles ist seinen Preis wert.,Everything is worth its price or Everything is worth what its purchaser will pay.
Alles zu seiner Zeit.,Everything in its season.
Alte Füchse gehen schwer in die Falle.,An old fox understands a trap.
"Alte soll man ehren, Junge soll man lehren.","Gray hairs are honorable.
Literally, 'One should honor the old, one should teach the young.'"
Am vielen Lachen erkennt man den Narren.,A fool is ever laughing.
An den Früchten erkennt man den Baum.,The apple does not fall far from the tree.
"Andere Länder, andere Sitten.","Different countries, different customs."
"Anfangen ist leicht, beharren eine Kunst.","To begin is easy, to persist is an art."
Angebotene Waare stinkt.,Proffer'd service stinks.
"Arzt, hilf dir selber!","Physician, heal thyself!"
Auch der kleinste Feind ist nicht zu verachten.,There is no little enemy.
Auf einen groben Klotz gehört ein grober Keil.,You must meet roughness with roughness.
Aufgewärmter Kohl war niemals gut.,Take heed of enemies reconciled and of meat twice boiled.
Aufschub bringt Gefahr.,There is danger in delay.
"Aus den Augen, aus dem Sinn.","Out of sight, out of mind."
Aus einem Stein ist schwer Öl pressen.,You cannot get blood from a stone.
Aus einer Mücke einen Elefanten machen.,Don't make a mountain out of a molehill.
Aus Schaden wird man klug.,Adversity is the mother of wisdom.
Außerordentliche Übel erfordern außerordentliche Mittel.,Desperate diseases must have desperate remedies. 'Desperate times call for desperate measures'.
"Bald geben, ist doppelt geben.","He gives twice, who gives in a trice.
Literally: Soon given is doubly given."
Bald reif hält nicht steif.,"Early ripe, early rotten."
Barmherzigkeit fängt en zu Hause an.,Charity begins at home.
Bedenke das Ende.,"Whatever you do, act wisely, and consider the end."
"Bedenke, dass du sterben musst.",Latin equivalent: Memento mori.
"Behüte mich Gott vor meinen Freunden, mit den Feinden will ich schon fertig werden.","Defend me from my friends, from my enemies I can defend myself."
Bei offener Kiste mag auch der Fromme ein Schalk werden.,A nice wife and a back door oft make a rich man poor.
Beispiele tun oft mehr als viel Wort' und Lehr'.,"Precepts teach, but examples move."
"Beiß nicht in die Hand, die dich füttert.",Do not bite into the hand that feeds you.
Bellende Hunde beißen nicht.,Barking dogs seldom bite.
Berühre nicht alte Wunden.,It is not wise to open old wounds.
Besser allein als in schlechter Gesellschaft.,It is better to be alone than to be in bad company.
Besser arm in Ehren als reich in Schanden.,"A good name is the best of all treasures.
Literally: Better poor in honor than rich in shame."
"Besser ein Narr mit allen andern, als ein Weiser und allein.","Better foolish by all than wise by yourself.
Literally: Better a fool with everyone else than a wise man and alone."
"Besser ein Spatz in der Hand, als eine Taube auf dem Dach.","A bird in the hand is worth two in the bush.
Literally: Better a sparrow in the hand than a dove on the roof."
Besser spät als nie.,Better late than never.
Beurtheile nicht jeden nach deinem eigen Mass.,Do not judge others by your own yardstick.
Blinder Eifer ist Feuer ohne Licht.,Zeal without knowledge is a runaway horse.
Blödes Herz buhlt keine schöne Frau.,Faint heart never won fair lady.
Blut ist dicker als Wasser.,Blood is thicker than water.
Böses mit Gutem vergelten.,"If life gives you lemons, make lemonade.
Literally: Repay evil with good."
Da liegt der Hund begraben.,To smell a rat.
"Das Auge sieht weit, der Verstand noch weiter.",The eye looks but it is the mind that sees.
Das Bessere ist der Feind des guten.,Better is the enemy of good.
Das Beste kommt selten hernach.,Bad is the best choice.
Das Billige ist immer das Teuerste.,"Buy cheaply, pay dearly."
Das böse Gewissen verrät sich selbst.,A guilty conscience needs no accuser.
"Das Eisen schmieden, solange es heiß ist.",Strike while the iron is hot.
Das Glück hilft den Kühnen.,Fortune favors the bold.
Das Herz lügt nicht.,The heart does not lie.
Das Kind mit dem Bade ausschütten.,Don't throw out the child with the bath water.
"Das Pferd stirbt oft, ehe das Gras wächst.",While the grass grows the steed starves.
Das Weib ist des Mannes größtes Glück oder Unglück.,Choose a wife rather by your ear than your eye.
"Das Wort verhallt, die Schrift bleibt.",Paper is forbearing.
Deine Wäsche wasche zu Hause.,It is an ill bird that fouls its own nest; Don't wash your dirty linen in public.
"Dem Beichtwater, Arzt und Advokaten darf man nichts verschweigen.","Hide nothing from thy minister, physician and lawyer."
"Dem Hahn, der zu früh kräht, dreht man den Hals um.","Patience is a virtue, and a little will not hurt you."
Dem Trinker kommt der Durst.,Appetite comes with eating.
Den Teufel nicht an die Wand malen.,Not to paint the devil on the wall.
Der Amboss erschrickt vor dem (fürchtet den) Hammer nicht.,A good anvil does not fear the hammer.
Der Apfel fällt nicht weit vom Stamm.,The apple does not fall far from the tree.
"Der Arme isst wenn er was hat, der Reiche wenn er will.",Beggars can’t be choosers.
Der Eider dünket seine Ente ein Falk.,Every man thinks his own geese swans.
Der Ertrinkende greift nach einem Strohhalm.,A drowning man plucks at a straw.
Der Fisch stinkt vom Kopf her.,A fish stinks from the head.
"Der Geizige ist keinem gut, ihm selbst der Ärgste.",The covetous man is good to none and worst to himself.
Der gerade Weg ist der beste.,The straight path is the best one.
"Der Gesunde weiß nicht, wie reich er ist.",Health is wealth; Good health is more to be desired than wealth.
Der Horcher an der Wand hört seine eigene Schand.,Eavesdroppers hear no good of themselves.
Der Hund bellt und die Karawane geht vorüber.,"The dogs bark, but the caravan moves on."
Der liebe Gott ist immer mit den stärksten Bataillonen.,God is on the side of the strongest battalions.
"Der Mensch denkt, Gott lenkt.",Man proposes but God disposes.
"Der muss einen langen Löffel haben, der mit dem Teufel essen will.",He who sups with the devil needs a long spoon.
Der Neid frisst seinen eigenen Herrn.,Envy is its own torturer.
Der Schein trügt.,Appearances deceive.
Der Schuster hat die schlechtesten Schuhe.,The shoemaker goes barefoot.
Der Stärkere hat immer Recht.,Might is always right.
Der Ton macht die Musik.,"It is not what you do, but the way that you do it."
Der Weg zur Hölle ist mit guten Vorsätzen gepflastert.,The road to hell is paved with good intentions.
Der Wolf beißt das Schaf um Kleinigkeit.,The wolf finds a reason for taking the lamb.
Des Menschen Wille ist sein Himmelreich.,His own desire leads every man.
Die Arznei ist oft ärger als das Übel.,The remedy is often worse than the disease.
Die beste Verteidigung ist der Angriff.,The best defense is a good offense.
Die besten Gedanken kommen allzeit hinterdrein.,Second thoughts are the best; We shall lose nothing by waiting.
Die besten Schwimmer ertrinken.,The best swimmers often drown.
Die Ersten werden die Letzten sein.,"The last will be first, and the first last."
Die großen Fische fressen die kleinen.,Men are like fish; the great ones devour the small.
Die Nacht ist keines Menschen Freund.,The night is no man's friend.
Die Ochsen hinter den Wagen spannen.,Don't put the cart before the horse.
Die Ratten verlassen das sinkende Schiff.,Rats desert a sinking ship.
"Die Zeiten ändern sich, und wir ändern uns in ihnen.",Times change and we are changed with them.
Doppelt genäht hält besser.,"Good riding at two anchors, men have told, for if the one fails, the other may hold."
Du siehst den Wald vor lauter Bäumen nicht.,Missing the forest for the trees.
Durch Völlerei kommen mehr um denn durchs Schwert.,Gluttony kills more than the sword.
"Galle im Herzen, Honig im Mund.",A honey tongue and a heart of gall.
Gebranntes Kind scheut das Feuer.,"Once bitten, twice shy."
Geduld bringt Rosen.,"Patience is a virtue, and a little will not hurt you."
Geklagtes Leid ist halbes Leid.,A problem shared is a problem halved.
Geld macht nicht glücklich.,Money can't buy happiness.
Gelernt ist gelernt.,What is learned in the cradle lasts to the tomb.
Gemein Gerücht ist selten erlogen.,Common fame is seldom to blame.
Geschehene Dinge leiden keinen Rath.,"When a thing is done, advice comes too late."
Geschenk vom Feind ist nicht gut gemeint.,Beware of Greeks bearing gifts.
Geschichte wiederholt sich.,History repeats itself.
"Gesunder Mann, reicher Mann.",Good health is above wealth.
Gesundheit ist besser als Reichtum.,Good health is above wealth.
"Geteilte Freude ist doppelte Freude, geteilter Schmerz ist halber Schmerz.","Joy shared, joy doubled; sorrow shared, sorrow halved."
Gezwungen Liebe und gemachte Farbe dauern nicht.,Forced love and self-made colors do not last.
"Gleich sucht sich, Gleich findet sich.",Birds of a feather flock together.
Gleiche Gemüter suchen sich.,Great minds think alike.
Gleiches muß durch Gleiches geheilt werden.,Fight fire with fire.
Glück bringt Neider.,Envy always shooteth at a high mark.
Goldenes Gebiss macht das Pferd besser.,Fine feathers make fine birds.
"Gott bewahre mich vor jemand, der nur ein Büchlein gelesen hat.",Fear the man of one book.
"Gott lässt uns wohl sinken, aber nicht ertrinken.",Bitter pills may have blessed effects.
"Gut verloren, etwas verloren; Ehre verloren, viel verloren; Mut verloren, alles verloren.","Courage lost, all lost."
Gute Freunde muss man nicht zu viel überlaufen.,Friends are lost by calling often and calling seldom.
Guter Mut ist halber Leib.,Faith is half the battle.
Guter Wille gilt für die Tat.,Take the will for the deed.
"Halt's Maul, so fliegt dir keine Mücke hinein.",A closed mouth catches no flies.
Hast ist meist ohne Vorteil.,Haste makes waste.
"Heute mir, Morgen dir.","Today thee, tomorrow me."
Hochmut kommt vor dem Fall.,Pride cometh before a fall.
Hoffen und Harren macht manchen zum Narren.,He that lives on hope shall die fasting.
"Hurtig zum Imbiß, hurtig zur Arbeit.","Quick at meat, quick at work."
Hütet euch vor den falschen Propheten.,Beware of false prophets.
Im Becher ersaufen mehr als im Meer.,Wine has drowned more than the sea.
"Im Glück nicht jubeln, im Sturm nicht zagen.","If fortune favors, beware of being exalted; if fortune thunders, beware of being overwhelmed."
Im Hause des Gehenkten rede nicht vom Stricke.,Name not a rope in his house who hanged himself.
"Im Scherz klopft man oft, und im Ernst wird auf.",Many a true word is spoken in jest.
In der Furt soll man die Pferde nicht wechseln.,Don't change horses in midstream.
In eigener Sache kann niemand Richter sein.,No one can be the judge in his own case.
In Zweifelsfalle draußen bleiben.,"When in doubt, leave it out."
"Je mehr man die Katze streichelt, desto höher trägt sie den Schwanz.","The more you stroke the cat's tail, the more he raises his back."
"Je näher dem Bein, desto süßer das Fleisch.",The sweetest flesh is near the bones.
"Je toller, desto besser.",The more the merrier.
Jedem gefällt das Seine.,The bird loves her own nest.
Jedem Narren gefällt seine Kappe.,Every fool is pleased with his own folly.
Jedes Warum hat seinen Darum.,Every why has a wherefore.
"Jung getollt, alt gezollt.",Reckless youth makes rueful age.
Kehre vor Deiner eigenen Tür.,Sweep your own doorstep clean.
Kehre vor Deiner eigenen Tür.,Sweep your own doorstep clean.
"Kein Buch so schlecht, es steckt was Gutes drin.",No book was so bad that some good might be got out of it.
Keiner weiss wo dem Andern der Schuh drückt.,"No one knows where the shoe pinches, but he who wears it."
Kleine Kessel haben große Ohren.,Little pitchers have big ears.
Krummes Holz gibt auch gerades Feuer.,Crooked logs make straight fires.
Lasset die Sonne nicht über eurem Zorne untergehen.,Do not let sunset find you still nursing your anger.
"Lebe wie du kannst, nicht wie du willst.","Do as you may, if you can't do as you could."
Leichter gesagt als getan.,Easier said than done.
Lieber ein Ende mit Schmerzen als Schmerzen ohne Ende.,Better an end with pain than pain without end.
Lügen haben kurze Beine.,A lie has short legs.
Man kann die Natur nicht ändern.,What is bred in the bone will not go out of the flesh.
Man muss das Eisen schmieden solange es heiß ist.,Strike while the iron is hot.
Man sieht das Hirn nicht an der Stirn.,Judge not a man and things at first sight.
Man soll den Tag nicht vor dem Abend loben.,Don't count your chickens before they hatch.
Mit Honig fängt man Fliegen.,You catch more flies with honey than with vinegar.
"Mitgefangen, mitgehangen.","Caught together, hanged together."
Morgenstund hat Gold im Mund.,The early bird catches the worm.
Muth ist halber Leib tägliches Wohlleben.,Faith is half the battle.
Narren bedürfen der Schellen nicht.,A fool does not need any bells.
Natur geht vor Lehre.,Nature is beyond all teaching.
Nehmt euch vor einem Ochsen vorn: vor einem Eisel hinten und vor einem Mönch auf allen Seiten in Acht.,"Take heed of an ox before, an ass behind, and a monk on all sides."
"Neidhard ist gestorben, hat aber viele Kinder hinterlassen.",Envy takes no holiday.
Neue Besen kehren gut.,New brooms clean well.
Nicht alle sind Diebe die der Hund anbellt.,All are not thieves that dogs bark at.
Nichts vertrocknet balder als Ihránen.,Nothing dries sooner than tears.
Niemand ist unersetzlich.,No man is indispensable.
"Niemand kann sich über das Meer beklagen, der zum zweiten Male Schiffbruch erlitten hat.",No one that has suffered shipwreck for the second time can complain about the sea.
Nur tote Fische schwimmen mit dem Strom.,Only dead fish swim with the stream.
Öl in Feuer schütten.,To pour oil into fire.
Quatsch keine Opern.,Don’t talk operas (Few words are best).
Raten ist nicht zwingen.,Counsel is no command.
"Reden ist Silber, Schweigen ist Gold.","Speech is silver, but silence is golden."
"Rund ist die Welt, drum Brüder laßt uns reisen.","The world is round, so let's travel, brothers."
Schälke muss man mit Schälken fangen.,Set a thief to catch a thief.
"Schande dem, der schlecht davon denkt.",Shame take him that shame thinketh.
Schlafende Hunde soll man nicht wecken.,Let sleeping dogs lie.
"Schlimme Sitten, gut Gesetz.",Good laws have sprung from bad customs.
Schmieds Pferd und Schusters Weiber gehen meistens barfuß.,The cobbler's wife is the worst shod.
Schnell Urteil hat Reue feil.,Hasty judgment leads to repentance.
"Schön ist, was schön lässt.",Handsome is that handsome does.
"Schuster, bleib bei deinen Leisten.","Shoemaker, stick to your trade."
Selbst dem Teufel sein Recht geben.,Give the devil his due.
Selbst ist der Mann.,"If you want a thing done right, do it yourself."
Sich aufs hohe Pferde setzen.,Riding the high horse.
Sicher ist sicher.,Better safe than sorry.
Sieht doch wohl die Katze den Kaiser an.,A cat may look at a king.
Sorge macht vor Zeiten grau.,Worrying about too much makes a person old before their time.
Spiele nicht mit Feuer.,If you play with fire you will get burned.
Stehend Wasser wird stinkend.,Standing pools gather mud.
Steter Tropfen höhlt den Stein.,A steady dripping will carve the stone.
Taten statt Worte!,Actions speak louder than words.
Teile und herrsche!,Divide and conquer.
Tut nach meinen Worten und nicht nach meinen Werken.,"Do as I say, not as I do."
Übung macht den Meister.,Practice makes perfect.
Unter dem blühenden Strauch liegt oft eine giftige Schlange versteckt.,"Look before you leap, for snakes among sweet flowers do creep."
Unter den Blinden ist der Einäugige König.,"In the land of the blind, the one-eyed man is king."
Verborgener Schatz ist nichts wert.,A hidden treasure is worth nothing.
Verbotene Frucht schmeckt am besten.,Forbidden fruit tastes the best.
Verstand kommt mit den Jahren.,Wisdom comes with age.
Vertrauen erweckt Vertrauen.,Trust begets trust.
Viel Rat ist Unrat.,Too much advice is useless.
Viel Rath ist Unrath.,Too much advice is bad advice.
"Viel Stroh, wenig Korn.","Much straw, little grain."
Viel Wissen macht Kopfweh.,Much knowledge creates headache.
Viele Handwerke verderben den Meister.,Jack of all trades and a master of none.
Viele Körnlein machen auch einen Haufen.,Many a mickle makes a muckle.
Volle Fässer klingen nicht leere desto mehr.,Empty vessels make the greatest sound.
Vom Regen in die Traufe.,Out of the frying pan and into the fire.
Von großen Blöcken haut man große Stücke.,From big blocks one chops big pieces.
Von Toten soll man nichts als Gutes reden.,Speak well of the dead.
Vorbeugen ist besser als heilen.,Prevention is better than cure.
Vorrath nimmer schadet.,A store never hurts.
"Wahrheit gibt kurzen Bescheid, Luege macht viel Redens.","Truth gives one reason, the lie gives many."
"Was du allein wissen willst, das sage niemand.","What you want to keep a secret, tell no one."
Was Gutes kommt wieder.,What is good returns.
Was man wünscht das glaubt man gern.,The wish is father to the thought.
"Wem das Ferkel geboten wird, soll den Sack bereit haben.",Don't look a gift horse in the mouth.
"Wem der Rock paßt, mag ihn anziehen.","If the shoe fits, wear it."
"Wem Gott gibt ein Amt, dem gibt er auch Verstand.","Where God bestows an office, he gives brains to fill it."
"Wem nicht zu raten ist, dem ist auch nicht zu helfen.","He who can't be advised, can also not be helped."
"Wenn alle dir sagen, du seiest betrunken, geh' schlafen.","When everyone tells you that you are drunk, go to sleep."
"Wenn das Haupt krank ist, trauern alle Glieder.","When the head is sick, all members mourn."
"Wenn der Berg nicht zum Propheten kommt, muß der Prophet zum Berge gehen.","If the mountain will not come to Mohammed, Mohammed must go to the mountain."
Wenn der Himmel einfällt bleibt nirgend ein stehen.,"If the sky falls, we shall catch larks."
"Wenn der Scherz am Besten ist, soll man aufhören.",Leave a jest when it pleases you best.
"Wenn der Teufel alt wird, will er ein Mönch werden.","When the devil gets old, he wants to be a monk."
"Wenn du dich nicht selber kitzelst, ein and'rer wird nicht für dich lachen.","If you do not tickle yourself, no one else will laugh for you."
"Wenn ein Freund bittet, so gilt nicht morgen.","When a friend asks, tomorrow does not count."
Wenn Wünsche hülfen wären wohl Viele reich.,"If wishes were horses, beggars would ride."
"Wer anderen eine Grube gräbt, fällt selbst hinein.",He who digs a pit for others falls into it himself.
"Wer auf des Andern Schuhe wartet, bis er todt ist, der geht barfuss.",Don't wait for dead men's shoes.
"Wer auf Gott vertraut, hat gut gebaut.",He who trusts in God has built well.
"Wer befehlen will, muß gehorchen lernen.",Who wants to command must learn to obey.
"Wer den Acker nicht will graben, der wird nicht als Unkraut haben.",Who does not want to dig the land shall have nothing but weeds.
"Wer den Kern essen will, muss die Nuss knacken.",He that would eat the kernel must crack the nut.
"Wer den Teufel im Schiff hat, der muss ihn fahren.",He that takes the devil into the boat must carry him over the sound.
"Wer durch Fliehen sich mag retten, kann wieder vor die Luke treten.",He who fights and runs away may live to fight another day.
"Wer Eier unter den Füßen hat, muss leise auftreten.",He who has eggs under his feet must tread lightly.
"Wer ein Kalb stiehlt, stiehlt eine Kuh.",He that steals a calf steals a cow.
"Wer Feuer bedarf, sucht es in der Asche.",Let him that is cold blow the coals.
"Wer Gott vertraut, Hat wohl gebaut.","He who serves God, has a good master."
"Wer im Glashaus sitzt, darf andere nicht mit Steinen bewerfen.",People who live in glass houses shouldn't throw stones.
"Wer nicht wagt, der nicht gewinnt.","Nothing ventured, nothing gained."
"Wer zuerst kommt, mahlt zuerst.","First come, first served."
Zeit heilt alle Wunden.,Time heals all wounds.
Zeit ist das teuerste Kleinod.,Time is precious.
Zu nacht sind alle Katzen grau.,At night all cats are gray.
"Zum Dichter muß man geboren sein, Redner kann man werden.","Poets are born, but orators are trained."
Zur rechten Zeit ein Nadelstich erspart sicherlich neun.,A stitch in time saves nine.
