Nr,level,level_verb,answer,question,type,prefix,german,english
1,1,A1,anziehen,"to get dressed, to put on, to dress someone, to attract, to pull",1. verb,an,ziehen,"to pull, to drag, to move"
2,1,A1,anrufen,"to call by telephone, to call on (someone)",1. verb,an,rufen,"to call out, to call for help, to telephone"
3,1,A1,anfangen,to begin something new,1. verb,an,fangen,to catch
4,1,A1,ansehen,"to look at something, to watch something",1. verb,an,sehen,"to see, to see (to something), to realise"
5,1,A1,aufstehen,"to get up, to be open (e.g. a window, door)",1. verb,auf,stehen,"to stand, to be, to appear"
6,1,A1,aufhören,"to stop, to cease an activity/process",1. verb,auf,hören,"to hear, to listen to"
7,1,A1,einladen,"to invite, to load (something into a container)",1. verb,ein,laden,"to load, to charge"
8,1,A1,bestimmen,to determine,1. verb,be,stimmen,"to be true, to vote, to tune"
9,1,A1,bezahlen,"to pay, to pay someone",1. verb,be,zahlen,"to pay (for something), to atone for"
10,1,A1,benutzen,to use (something),1. verb,be,nutzen,"to use, to utilize"
11,1,A1,besuchen,to visit,1. verb,be,suchen,"to seek, to search"
12,1,A1,erzählen,"to tell, to narrate",1. verb,er,zählen,to count
13,1,A1,erklären,"to explain, to declare, to assert",1. verb,er,klären,to clarify
14,1,A1,verstehen,"to understand, to get along with someone/something",1. verb,ver,stehen,"to stand, to be, to appear"
15,1,A1,versuchen,to try,1. verb,ver,suchen,"to seek, to search"
16,1,A1,verkaufen,to sell,1. verb,ver,kaufen,to buy
17,1,A1,übersetzen,to translate,1. verb,über,setzen,"to set, to sit down (refl.)"
18,1,A2,abholen,"to pick up someone or something, to collect",1. verb,ab,holen,to fetch
19,1,A2,ankommen,"to arrive, to depend on something",1. verb,an,kommen,"to come, to make it (e.g. over something), to go to, to occur"
20,1,A2,anmelden,"to register, to sign up",1. verb,an,melden,"to report, to register"
21,1,A2,annehmen,"to accept, to assume (a hypothesis), to receive, to suppose",1. verb,an,nehmen,"to take, to cause oneself to be (in some state)"
22,1,A2,anbieten,"to offer, to provide",1. verb,an,bieten,"to offer, to bid, to arise, to occur (of an opportunity) (refl.)"
23,1,A2,aufmachen,"to open (coll.), to head/move off (refl.), to undo something",1. verb,auf,machen,"to make, to prepare (e.g. food), to do"
24,1,A2,aufpassen,"to watch out, to look after something, to be attentive with something",1. verb,auf,passen,"to fit, to suit"
25,1,A2,einschlafen,to fall asleep,1. verb,ein,schlafen,to sleep
26,1,A2,einkaufen,to shop,1. verb,ein,kaufen,to buy
27,1,A2,zurückgehen,"to go back, to decline",1. verb,zurück,gehen,"to go, to leave, to work, to function (coll.)"
28,1,A2,mitnehmen,"to carry along, to pick up (something), to take away",1. verb,mit,nehmen,"to take, to cause oneself to be (in some state)"
29,1,A2,mitbringen,"to bring along, to bring with",1. verb,mit,bringen,"to bring, to take, to lead"
30,1,A2,mitteilen,"to inform, to share",1. verb,mit,teilen,"to split, to share, to divide"
31,1,A2,vorstellen,"to introduce, to present oneself (refl.), to move forward, to represent",1. verb,vor,stellen,"to position, to put, to catch"
32,1,A2,vorschlagen,"to suggest, to propose",1. verb,vor,schlagen,"to hit, to defeat, to beat (cooking)"
33,1,A2,besitzen,"to own, to possess, to have",1. verb,be,sitzen,"to be seated, to stay, to fit (of clothing)"
34,1,A2,behalten,to keep,1. verb,be,halten,"to hold, to stop (a movement), to support, to keep"
35,1,A2,befinden,"to be located (refl.), to find, to consider (formal)",1. verb,be,finden,to find
36,1,A2,beraten,"to advise, to consult",1. verb,be,raten,"to advise, to recommend, to guess"
37,1,A2,bewerben,to apply (to a job etc.),1. verb,be,werben,to advertise
38,1,A2,beenden,"to finish, to complete, to terminate (relationship)",1. verb,be,enden,to end (passive)
39,1,A2,empfehlen,"to recommend, to suggest",1. verb,emp,fehlen,"to lack, to be absent/missing"
40,1,A2,entscheiden,to decide,1. verb,ent,scheiden,"to separate, to divorce"
41,1,A2,enthalten,"to contain, to include",1. verb,ent,halten,"to hold, to stop (a movement), to support, to keep"
42,1,A2,erkennen,"to recognise, to realise",1. verb,er,kennen,"to know, to be acquainted with, to be familiar with"
43,1,A2,erwarten,"to expect, to await",1. verb,er,warten,"to wait, to maintain (e.g. a car)"
44,1,A2,ersetzen,"to replace, to substitute",1. verb,er,setzen,"to set, to sit down (refl.)"
45,1,A2,erstellen,"to create, to generate, to compile, to set up",1. verb,er,stellen,"to position, to put, to catch"
46,1,A2,verlassen,"to leave, to trust with something (refl.), to pass away, to die",1. verb,ver,lassen,"to let, to leave, to allow"
47,1,A2,versprechen,"to promise, to hope for, to misspeak",1. verb,ver,sprechen,to speak
48,1,A2,verändern,"to alter, to change something",1. verb,ver,ändern,to change (one's personality/behavior)
