Nr,level,german,english,type,answer,question,case,gender
1,1,Das Ende ist nah.,,,Das,_____ Ende ist nah.,nominative,neuter
2,1,Die Million ist viel Geld.,,,Die,_____ Million ist viel Geld.,nominative,feminine
3,1,Die Schule ist groß.,,,Die,_____ Schule ist groß.,nominative,feminine
4,1,Die Woche hat sieben Tage.,,,Die,_____ Woche hat sieben Tage.,nominative,feminine
5,1,Der Vater ist müde.,,,Der,_____ Vater ist müde.,nominative,masculine
6,1,Die Seite ist weiß.,,,Die,_____ Seite ist weiß.,nominative,feminine
7,1,Das Leben ist schön.,,,Das,_____ Leben ist schön.,nominative,neuter
8,1,Die Mutter ist nett.,,,Die,_____ Mutter ist nett.,nominative,feminine
9,1,Das Auge ist blau.,,,Das,_____ Auge ist blau.,nominative,neuter
10,1,Die Wörter sind lang.,,,Die,_____ Wörter sind lang.,nominative,plural
11,1,Das Geld ist wichtig.,,,Das,_____ Geld ist wichtig.,nominative,neuter
12,1,Der Weg ist lang.,,,Der,_____ Weg ist lang.,nominative,masculine
13,1,Die Stunde dauert sechzig Minuten.,,,Die,_____ Stunde dauert sechzig Minuten.,nominative,feminine
14,1,Der Name ist bekannt.,,,Der,_____ Name ist bekannt.,nominative,masculine
15,1,Der Kopf tut weh.,,,Der,_____ Kopf tut weh.,nominative,masculine
16,1,Das Paar ist glücklich.,,,Das,_____ Paar ist glücklich.,nominative,neuter
17,1,Das Unternehmen ist groß.,,,Das,_____ Unternehmen ist groß.,nominative,neuter
18,1,Das Bild ist schön.,,,Das,_____ Bild ist schön.,nominative,neuter
19,1,Das Buch ist spannend.,,,Das,_____ Buch ist spannend.,nominative,neuter
20,1,Die Wasser sind kalt.,,,Die,_____ Wasser sind kalt.,nominative,plural
21,1,Die Straße ist lang.,,,Die,_____ Straße ist lang.,nominative,feminine
22,1,Die Minute ist kurz.,,,Die,_____ Minute ist kurz.,nominative,feminine
23,1,Die Gruppe ist klein.,,,Die,_____ Gruppe ist klein.,nominative,feminine
24,1,Der Wert ist hoch.,,,Der,_____ Wert ist hoch.,nominative,masculine
25,1,Das Gesicht ist rund.,,,Das,_____ Gesicht ist rund.,nominative,neuter
26,1,Die Sprache ist schwer.,,,Die,_____ Sprache ist schwer.,nominative,feminine
27,1,Der Ort ist schön.,,,Der,_____ Ort ist schön.,nominative,masculine
28,1,Der Moment ist wichtig.,,,Der,_____ Moment ist wichtig.,nominative,masculine
29,1,Das Interesse ist groß.,,,Das,_____ Interesse ist groß.,nominative,neuter
30,1,Die Rolle sind wichtig.,,,Die,_____ Rolle sind wichtig.,nominative,plural
31,1,Die Tür ist offen.,,,Die,_____ Tür ist offen.,nominative,feminine
32,1,Der Schüler ist fleißig.,,,Der,_____ Schüler ist fleißig.,nominative,masculine
33,1,Der Text ist lang.,,,Der,_____ Text ist lang.,nominative,masculine
34,1,Das Stück ist klein.,,,Das,_____ Stück ist klein.,nominative,neuter
35,1,Die Wohnung ist teuer.,,,Die,_____ Wohnung ist teuer.,nominative,feminine
36,1,Der Meter ist kurz.,,,Der,_____ Meter ist kurz.,nominative,masculine
37,1,Der Punkt ist klar.,,,Der,_____ Punkt ist klar.,nominative,masculine
38,1,Die Situation ist schwierig.,,,Die,_____ Situation ist schwierig.,nominative,feminine
39,1,Der Lehrer ist nett.,,,Der,_____ Lehrer ist nett.,nominative,masculine
40,1,Die Preise sind hoch.,,,Die,_____ Preise sind hoch.,nominative,plural
41,1,Die Stelle ist wichtig.,,,Die,_____ Stelle ist wichtig.,nominative,feminine
42,1,Die Form ist rund.,,,Die,_____ Form ist rund.,nominative,feminine
43,1,Der Monat hat vier Wochen.,,,Der,_____ Monat hat vier Wochen.,nominative,masculine
44,1,Die Familie ist groß.,,,Die,_____ Familie ist groß.,nominative,feminine
45,1,Der Morgen ist schön.,,,Der,_____ Morgen ist schön.,nominative,masculine
46,1,Der Abend ist ruhig.,,,Der,_____ Abend ist ruhig.,nominative,masculine
47,1,Der Sinn ist klar.,,,Der,_____ Sinn ist klar.,nominative,masculine
