Nr,level,reflx,verb,preposition,case,english_verb,german,english_sentence,answer,question
1,1,,arbeiten,bei,D,to work at,Er arbeitet bei einer grossen Firma.,He works at a big company.,,
2,1,,arbeiten,an,D,to work on,Sie arbeitet an einem neuen Projekt.,She is working on a new project.,,
3,1,,arbeiten,als,-,to work as,,,,
4,1,,bringen,zu,-,to bring to,,,,
5,1,,denken,an,A,to think of,Ich denke oft an meine Familie.,I often think of my family.,,
6,1,,fragen,nach,D,"to ask for, about",Er fragt nach dem Weg.,He asks for directions.,,
7,1,,glauben,an,A,to believe in,Sie glaubt an Wunder.,She believes in miracles.,,
8,1,,hoffen,auf,A,to hope for,Wir hoffen auf besseres Wetter.,We are hoping for better weather.,,
9,1,,hören,auf,A,to listen to,,,,
10,1,sich,interessieren,für,A,to be interested in,Sie interessiert sich für Geschichte.,She is interested in history.,für,
11,1,,kommen,aus,A,to come from,Sie kommt aus Deutschland.,She comes from Germany.,,
12,1,,kommen,zu,D,to come to,Er kam zu einer wichtigen Entscheidung.,He came to an important decision.,,
13,1,,schreiben,über,A,to write about,,,,
14,1,,schreiben,an,A / D,to write to,Er schreibt an seinen Chef.,He writes to his boss.,,
15,1,,sein,gegen,A,to be against,Sie ist gegen die neue Regel.,She is against the new rule.,,
16,1,,sein,für,A,to be for,Ich bin für diesen Vorschlag.,I am in favor of this proposal.,,
17,1,,spielen,mit,D,to play with,Das Kind spielt mit seinem Hund.,The child is playing with its dog.,,
18,1,,sprechen,mit,D,to speak with,Ich spreche mit meiner Schwester.,I am talking to my sister.,,
19,1,,suchen,nach,D,to search for,Er sucht nach seinen Schlüsseln.,He is looking for his keys.,,
20,1,sich,treffen,zu,D,to meet for,Wir treffen uns zu einem Gespräch.,We meet for a conversation.,,
21,1,sich,treffen,mit,D,to meet with,Er trifft sich mit seinen Freunden.,He meets with his friends.,,
22,1,,übersetzen,aus,A,to translate from,,,,
23,1,,übersetzen,in,A,to translate into,,,,
24,1,,warten,auf,A,to wait for,Sie wartet auf den Bus.,She is waiting for the bus.,,
25,2,,arbeiten,bei,,to work at,Er arbeitet bei einer großen Firma.,He works at a big company.,bei,Er arbeitet _____ einer großen Firma.
26,2,,arbeiten,bei,,to work at,Ich arbeite bei Lidl als Verkäufer.,I work at Lidl as a salesperson.,bei,Ich arbeite _____ Lidl als Verkäufer.
27,2,,arbeiten,an,,to work on,Sie arbeitet an einem neuen Projekt.,She is working on a new project.,an,Sie arbeitet _____ einem neuen Projekt.
28,2,,arbeiten,an,,to work on,Ich arbeite an meinem Deutsch.,I am working on my German.,an,Ich arbeite _____ meinem Deutsch.
29,2,,arbeiten,als,,to work as,Er arbeitet als Lehrer.,He works as a teacher.,als,Er arbeitet _____ Lehrer.
30,2,,arbeiten,als,,to work as,Ich arbeite als Kellnerin.,I work as a waitress.,als,Ich arbeite _____ Kellnerin.
31,2,,bringen,zu,,to bring to,Der Briefträger bringt das Paket zu mir.,The postman brings the package to me.,zu,Der Briefträger bringt das Paket _____ mir.
32,2,,bringen,zu,,to bring to,Ich bringe das Kind zu der Schule.,I bring the child to school.,zu,Ich bringe das Kind _____ der Schule.
33,2,,denken,an,,to think of,Ich denke an meine Mutter.,I think about my mother.,an,Ich denke _____ meine Mutter.
34,2,,denken,an,,to think of,Er denkt oft an seinen Urlaub.,He often thinks about his vacation.,an,Er denkt oft _____ seinen Urlaub.
35,2,,fragen,nach,,"to ask for, about",Er fragt nach dem Weg.,He asks for the way.,nach,Er fragt _____ dem Weg.
36,2,,fragen,nach,,"to ask for, about",Ich frage nach dem Preis.,I ask for the price.,nach,Ich frage _____ dem Preis.
37,2,,glauben,an,,to believe in,Sie glaubt an Gott.,She believes in God.,an,Sie glaubt _____ Gott.
38,2,,glauben,an,,to believe in,Ich glaube an meine Freunde.,I believe in my friends.,an,Ich glaube _____ meine Freunde.
39,2,,hoffen,auf,,to hope for,Wir hoffen auf gutes Wetter.,We hope for good weather.,auf,Wir hoffen _____ gutes Wetter.
40,2,,hoffen,auf,,to hope for,Ich hoffe auf eine gute Note.,I hope for a good grade.,auf,Ich hoffe _____ eine gute Note.
41,2,,hören,auf,,to listen to,Das Kind hört auf seine Mutter.,The child listens to his mother.,auf,Das Kind hört _____ seine Mutter.
42,2,,hören,auf,,to listen to,Ich höre auf den Lehrer.,I listen to the teacher.,auf,Ich höre _____ den Lehrer.
43,2,sich,interessieren,für,,to be interested in,Ich interessiere mich für Geschichte.,I am interested in history.,für,Ich interessiere mich _____ Geschichte.
44,2,sich,interessieren,für,,to be interested in,Er interessiert sich für Musik.,He is interested in music.,für,Er interessiert sich _____ Musik.
45,2,,kommen,aus,,to come from,Ich komme aus Deutschland.,I come from Germany.,aus,Ich komme _____ Deutschland.
46,2,,kommen,aus,,to come from,Sie kommt aus Italien.,She comes from Italy.,aus,Sie kommt _____ Italien.
47,2,,kommen,zu,,to come to,Er kommt zu spät zu der Schule.,He comes late to school.,zu,Er kommt zu spät _____ der Schule.
48,2,,kommen,zu,,to come to,Ich komme zu deiner Party.,I come to your party.,zu,Ich komme _____ deiner Party.
49,2,,schreiben,über,,to write about,Ich schreibe über meine Familie.,I write about my family.,über,Ich schreibe _____ meine Familie.
50,2,,schreiben,über,,to write about,Er schreibt über seine Reise.,He writes about his trip.,über,Er schreibt _____ seine Reise.
51,2,,schreiben,an,,to write to,Ich schreibe einen Brief an meine Oma.,I write a letter to my grandma.,an,Ich schreibe einen Brief _____ meine Oma.
52,2,,schreiben,an,,to write to,Sie schreibt eine E-Mail an ihren Freund.,She writes an email to her boyfriend.,an,Sie schreibt eine E-Mail _____ ihren Freund.
53,2,,sein,gegen,,to be against,Ich bin gegen die Idee.,I am against the idea.,gegen,Ich bin _____ die Idee.
54,2,,sein,gegen,,to be against,Er ist gegen das neue Gesetz.,He is against the new law.,gegen,Er ist _____ das neue Gesetz.
55,2,,sein,für,,to be for,Ich bin für das neue Projekt.,I am for the new project.,für,Ich bin _____ das neue Projekt.
56,2,,sein,für,,to be for,Sie ist für eine längere Pause.,She is for a longer break.,für,Sie ist _____ eine längere Pause.
57,2,,spielen,mit,,to play with,Das Kind spielt mit dem Ball.,The child plays with the ball.,mit,Das Kind spielt _____ dem Ball.
58,2,,spielen,mit,,to play with,Ich spiele mit meinem Hund.,I play with my dog.,mit,Ich spiele _____ meinem Hund.
59,2,,sprechen,mit,,to speak with,Ich spreche mit meinem Vater.,I talk with my father.,mit,Ich spreche _____ meinem Vater.
60,2,,sprechen,mit,,to speak with,Sie spricht mit ihrer Lehrerin.,She talks with her teacher.,mit,Sie spricht _____ ihrer Lehrerin.
61,2,,suchen,nach,,to search for,Ich suche nach meinem Handy.,I am looking for my phone.,nach,Ich suche _____ meinem Handy.
62,2,,suchen,nach,,to search for,Sie sucht nach einem neuen Job.,She is looking for a new job.,nach,Sie sucht _____ einem neuen Job.
63,2,sich,treffen,zu,,to meet for,Wir treffen uns zu einem Kaffee.,We meet for a coffee.,zu,Wir treffen uns _____ einem Kaffee.
64,2,sich,treffen,zu,,to meet for,Sie treffen sich zu einer Besprechung.,They meet for a meeting.,zu,Sie treffen sich _____ einer Besprechung.
65,2,sich,treffen,mit,,to meet with,Ich treffe mich mit meiner Freundin.,I meet with my girlfriend.,mit,Ich treffe mich _____ meiner Freundin.
66,2,sich,treffen,mit,,to meet with,Er trifft sich mit seinen Kollegen.,He meets with his colleagues.,mit,Er trifft sich _____ seinen Kollegen.
67,2,,übersetzen,aus,,to translate from,Ich übersetze den Text aus dem Englischen.,I translate the text from English.,aus,Ich übersetze den Text _____ dem Englischen.
68,2,,übersetzen,aus,,to translate from,Sie übersetzt das Buch aus dem Französischen.,She translates the book from French.,aus,Sie übersetzt das Buch _____ dem Französischen.
69,2,,übersetzen,in,,to translate into,Ich übersetze den Brief ins Deutsche.,I translate the letter into German.,ins,Ich übersetze den Brief _____ Deutsche.
70,2,,übersetzen,in,,to translate into,Er übersetzt das Dokument in seine Sprache.,He translates the document into his language.,in,Er übersetzt das Dokument _____ seine Sprache.
71,2,,warten,auf,,to wait for,Ich warte auf den Bus.,I am waiting for the bus.,auf,Ich warte _____ den Bus.
72,2,,warten,auf,,to wait for,Sie wartet auf ihre Freundin.,She is waiting for her friend.,auf,Sie wartet _____ ihre Freundin.
73,3,,ändern,an,D,to change about,Er ändert etwas an seinem Plan.,He changes something in his plan.,an,
74,3,,anfangen,mit,D,to start with,Er fängt mit der Arbeit an.,He starts with the work.,mit,
75,3,,anrufen,bei,D,to call at,,,bei,
76,3,,antworten,auf,A,to answer to,Sie antwortet auf seine Frage.,She answers his question.,auf,
77,3,,aufhören,mit,D,to stop with,Sie hört mit dem Rauchen auf.,She is quitting smoking.,mit,
78,3,,beginnen,mit,D,to begin with,Sie beginnt mit der Arbeit.,She starts with the work.,mit,
79,3,,bitten,um,A,to ask for / plead for,Er bittet um Verständnis.,He asks for understanding.,um,
80,3,,danken,für,A,to thank for,Ich danke dir für deine Hilfe.,I thank you for your help.,für,
81,3,,diskutieren,über,A,to discuss about,,,über,
82,3,,diskutieren,mit,D,to discuss with,,,mit,
83,3,,einladen,zu,D,to invite to,Wir laden euch zum Abendessen ein.,We invite you to dinner.,zu,
84,3,sich,erinnern,an,A,to recall / remember,Er erinnert sich an seine Schulzeit.,He remembers his school days.,an,
85,3,,erzählen,über,A,to talk of / about,Er erzählt über seine Reise.,He talks about his trip.,über,
86,3,,erzählen,von,D,to tell about,Sie erzählt von ihrer Kindheit.,She talks about her childhood.,von,
87,3,sich,freuen,auf,A,to look forward to,Ich freue mich auf den Urlaub.,I am looking forward to the vacation.,auf,
88,3,sich,freuen,über,A,to rejoice about,Sie freut sich über das Geschenk.,She is happy about the gift.,über,
89,3,,führen,zu,D,to lead to,,,zu,
90,3,,gehören,zu,D,to belong to,Er gehört zu unserer Gruppe.,He belongs to our group.,zu,
91,3,,helfen,bei,D,to help with,Kannst du mir bei den Hausaufgaben helfen?,Can you help me with the homework?,bei,
92,3,,hören,von,D,to hear of,Ich habe lange nichts von ihm gehört.,I haven't heard from him in a long time.,von,
93,3,,lachen,über,A,to laugh about,Wir lachen über den Witz.,We laugh about the joke.,über,
94,3,,passen,zu,D,"to match with, to pair with",,,zu,
95,3,,reden,über,A,to talk about something,Wir reden über das Wochenende.,We are talking about the weekend.,,
96,3,,reden,von,D,to talk of something,Er redet von seinem neuen Job.,He talks about his new job.,von,
97,3,,sprechen,über,A,to talk about,Wir sprechen über Politik.,We are talking about politics.,,
98,3,,sprechen,von,D,to speak of,,,von,
99,3,,träumen,von,D,to dream of,Sie träumt von einer Reise nach Japan.,She dreams of a trip to Japan.,von,
100,3,,verstehen,von,D,to be versed in / skilled in,Ich verstehe nichts von Physik.,I know nothing about physics.,von,
