exercise,input,output
adverbien,somit,also
adverbien,statt,anstatt
adverbien,draussen,aussen
adverbien,weiterhin,ausserdem
adverbien,ehe,bevor
adverbien,bzw,beziehungsweise
adverbien,bzw.,beziehungsweise
adverbien,bislang,bisher
adverbien,etwa,circa
adverbien,zirka,circa
adverbien,jedoch,dagegen
adverbien,demgegenüber,dagegen
adverbien,allerdings,dagegen
adverbien,sodass,damit
adverbien,deswegen,deshalb
adverbien,daher,deshalb
adverbien,darum,deshalb
adverbien,tatsächlich,eigentlich
adverbien,schliesslich,endlich
adverbien,zuletzt,endlich
adverbien,infolgedessen,folglich
adverbien,demzufolge,folglich
adverbien,demnach,folglich
adverbien,überhaupt,gar
adverbien,worden,geworden
adverbien,heut,heute
adverbien,entgegen,im gegensatz zu
adverbien,sooft,immer wenn
adverbien,drinnen,innen
adverbien,mittlerweile,inzwischen
adverbien,in der Zwischenzeit,inzwischen
adverbien,zufolge,laut
adverbien,wenigstens,mindestens
adverbien,zumindest,mindestens
adverbien,selbstverständlich,natürlich
adverbien,obgleich,obwohl
adverbien,obgleich,obwohl
adverbien,obschon,obwohl
adverbien,häufig,oft
adverbien,bereits,schon
adverbien,sofern,solange
adverbien,andernfalls,sonst
adverbien,ungeachtet,trotz
adverbien,dennoch,trotzdem
adverbien,gleichwohl,trotzdem
adverbien,anfänglich,ürsprunglich
adverbien,möglicherweise,vielleicht
adverbien,kürzlich,vor kurzem
adverbien,aufgrund,wegen
adverbien,nochmal,wieder
adverbien,wogegen,wohingegen
adverbien,ganz,ziemlich
adverbien,beispielsweise,zum beispiel
adverbien,zur zeit,zurzeit
frage,wozu,warum
frage,wieso,warum
frage,weshalb,warum
frage,weswegen,warum
